Застав’я вулиця	вулиця Заставʼя
Заступ’я вулиця	вулиця Заступʼя
Захарова вулиця	вулиця Захарова
Захисників Маріуполя вулиця	вулиця Захисників Маріуполя
Захисників України вулиця	вулиця Захисників України
Зацепи вулиця	вулиця Зацепи
Зв’язківців вулиця	вулиця Звʼязківців
Зелінського вулиця	вулиця Зелінського
Зерова вулиця	вулиця Зерова
Зільберта вулиця	вулиця Зільберта
Злагоди вулиця	вулиця Злагоди
Зої Космодем’янської вулиця	вулиця Зої Космодемʼянської
Золотаренка вулиця	вулиця Золотаренка
Зубінського вулиця	вулиця Зубінського
І.Франка вулиця	вулиця І. Франка
Івана Багряного вулиця	вулиця Івана Багряного
Івана Богуна вулиця	вулиця Івана Богуна
Івана Бубала вулиця	вулиця Івана Бубала
Івана Гонти вулиця	вулиця Івана Гонти
Івана Губи вулиця	вулиця Івана Губи
Івана Кожедуба вулиця	вулиця Івана Кожедуба
Івана Котляревського вулиця	вулиця Івана Котляревського
Івана Крип’якевича вулиця	вулиця Івана Крипʼякевича
Івана Купала вулиця	вулиця Івана Купала
Івана Мазепи вулиця	вулиця Івана Мазепи
Івана Миколайчука вулиця	вулиця Івана Миколайчука
Івана Огієнка вулиця	вулиця Івана Огієнка
Івана Пасевича вулиця	вулиця Івана Пасевича
Івана Перлика вулиця	вулиця Івана Перлика
Івана Підкови вулиця	вулиця Івана Підкови
Івана Пулюя вулиця	вулиця Івана Пулюя
Івана Сірка вулиця	вулиця Івана Сірка
Івана Тарасюка вулиця	вулиця Івана Тарасюка
Івана Федорова вулиця	вулиця Івана Федорова
Івана Франка вулиця	вулиця Івана Франка
Івана Ющука вулиця	вулиця Івана Ющука
Івасюка вулиця	вулиця Івасюка
Ігоря Сливки вулиця	вулиця Ігоря Сливки
Ізмайлова вулиця	вулиця Ізмайлова
Іови Кондзелевича вулиця	вулиця Іови Кондзелевича
Ісая вулиця	вулиця Ісая
Йова Кондзелевича вулиця	вулиця Йова Кондзелевича
Йосафата Кунцевича вулиця	вулиця Йосафата Кунцевича
Кавалерії вулиця	вулиця Кавалерії
Калахани вулиця	вулиця Калахани
Калініна вулиця	вулиця Калініна
Калнишевського вулиця	вулиця Калнишевського
Камінчука вулиця	вулиця Камінчука
Каразіна вулиця	вулиця Каразіна
Карбишева вулиця	вулиця Карбишева
Карла Маркса вулиця	вулиця Карла Маркса
Карла Маркса Вулиця	вулиця Карла Маркса
Кармелюка вулиця	вулиця Кармелюка
