Перша вулиця                                                                  	1-ша вулиця
Мирослава Січинського вулиця                                                  	вулиця Мирослава Січинського
Мирослава Скорика вулиця                                                      	вулиця Мирослава Скорика
Мирослава Тураша вулиця                                                       	вулиця Мирослава Тураша
Миру вулиця                                                                   	вулиця Миру
Миру Вулиця                                                                   	вулиця Миру
Миру вулиця;Миру улица                                                        	вулиця Миру
Улица Мира                                                                    	вулиця Миру
Митрополита Андрея вулиця                                                     	вулиця Митрополита Андрея
Митрополита Андрея Шептицького вулиця                                         	вулиця Митрополита Андрея Шептицького
Митрополита Антонія Ангеловича вулиця                                         	вулиця Митрополита Антонія Ангеловича
Митрополита Василя Липківського вулиця                                        	вулиця Митрополита Василя Липківського
Михайла Білінського вулиця                                                    	вулиця Михайла Білінського
Михайла Бойчука вулиця                                                        	вулиця Михайла Бойчука
Михайла Бринського вулиця                                                     	вулиця Михайла Бринського
Михайла Вербицького вулиця                                                    	вулиця Михайла Вербицького
Михайла Влоха вулиця                                                          	вулиця Михайла Влоха
Михайла Врубеля вулиця                                                        	вулиця Михайла Врубеля
Михайла Гайворонського вулиця                                                 	вулиця Михайла Гайворонського
Михайла Гамалії вулиця                                                        	вулиця Михайла Гамалії
Михайла Глінки вулиця                                                         	вулиця Михайла Глінки
Михайла Голинського вулиця                                                    	вулиця Михайла Голинського
Михайла Гориня вулиця                                                         	вулиця Михайла Гориня
Михайла Гринишина вулиця                                                      	вулиця Михайла Гринишина
Михайла Грушевськго вулиця                                                    	вулиця Михайла Грушевського
Михайла Грушевського вулиця                                                   	вулиця Михайла Грушевського
Михайла Грушевсьукого вулиця                                                  	вулиця Михайла Грушевсьукого
Михайла Драгана вулиця                                                        	вулиця Михайла Драгана
Михайла Драгоманова вулиця                                                    	вулиця Михайла Драгоманова
Михайла Драґана вулиця                                                        	вулиця Михайла Драґана
Михайла Драй-Хмари вулиця                                                     	вулиця Михайла Драй-Хмари
Михайла Жука вулиця                                                           	вулиця Михайла Жука
Михайла Зубрицького вулиця                                                    	вулиця Михайла Зубрицького
Михайла Климка вулиця                                                         	вулиця Михайла Климка
Михайла Козика вулиця                                                         	вулиця Михайла Козика
Михайла Колодзінського вулиця                                                 	вулиця Михайла Колодзінського
Михайла Коцюбинського вулиця                                                  	вулиця Михайла Коцюбинського
Михайла Кричевського вулиця                                                   	вулиця Михайла Кричевського
Михайла Левенця вулиця                                                        	вулиця Михайла Левенця
Михайла Левицького вулиця                                                     	вулиця Михайла Левицького
Михайла Лермонтова вулиця                                                     	вулиця Михайла Лермонтова
Михайла Лєрмонтова вулиця                                                     	вулиця Михайла Лєрмонтова
Михайла Ломоносова вулиця                                                     	вулиця Михайла Ломоносова
Михайла Лучка вулиця                                                          	вулиця Михайла Лучка
Михайла Лучкая вулиця                                                         	вулиця Михайла Лучкая
Михайла Максимовича вулиця                                                    	вулиця Михайла Максимовича
Михайла Мочульського вулиця                                                   	вулиця Михайла Мочульського
Михайла Осадци вулиця                                                         	вулиця Михайла Осадци
Михайла Остроградського вулиця                                                	вулиця Михайла Остроградського
Михайла Павлика вулиця                                                        	вулиця Михайла Павлика
Михайла Палідовича-Карпатського вулиця                                        	вулиця Михайла Палідовича-Карпатського
Михайла Панаса вулиця                                                         	вулиця Михайла Панаса
Михайла Паращука вулиця                                                       	вулиця Михайла Паращука
Михайла Садовського вулиця                                                    	вулиця Михайла Садовського
Михайла Сороки вулиця                                                         	вулиця Михайла Сороки
Михайла Старицького вулиця                                                    	вулиця Михайла Старицького
Михайла Стельмаха вулиця                                                      	вулиця Михайла Стельмаха
Михайла Туган-Барановського вулиця                                            	вулиця Михайла Туган-Барановського
Михайла Цегельського вулиця                                                   	вулиця Михайла Цегельського
Михайла Шалати вулиця                                                         	вулиця Михайла Шалати
Михайла Щепкіна вулиця                                                        	вулиця Михайла Щепкіна
Михайла Яцкова вулиця                                                         	вулиця Михайла Яцкова
Михаця вулиця                                                                 	вулиця Михаця
Мицика вулиця                                                                 	вулиця Мицика
Мишуги вулиця                                                                 	вулиця Мишуги
Містки вулиця                                                                 	вулиця Містки
Міські Загороди вулиця                                                        	вулиця Міські Загороди
Міхала Домбровського вулиця                                                   	вулиця Міхала Домбровського
Міхая Емінеску вулиця                                                         	вулиця Міхая Емінеску
Міцкевича вулиця                                                              	вулиця Міцкевича
Мичурина улица                                                                	вулиця Мічуріна
Мічуріна вулиця                                                               	вулиця Мічуріна
Мічуріна вулиця;Мичурина улица                                                	вулиця Мічуріна
Модеста Менцинського вулиця                                                   	вулиця Модеста Менцинського
Модеста Сосенка вулиця                                                        	вулиця Модеста Сосенка
Можайського вулиця                                                            	вулиця Можайського
Моріна вулиця                                                                 	вулиця Моріна
Морозенка вулиця                                                              	вулиця Морозенка
Морозовського вулиця                                                          	вулиця Морозовського
Мулявка вулиця                                                                	вулиця Мулявка
На Копані вулиця                                                              	вулиця На Копані
На Нивах вулиця                                                               	вулиця На Нивах
На Сторожі вулиця                                                             	вулиця На Сторожі
На Чвертях вулиця                                                             	вулиця На Чвертях
Набережна Стрия вулиця                                                        	вулиця Набережна Стрия
Нагірних вулиця                                                               	вулиця Нагірних
Над Бугом вулиця                                                              	вулиця Над Бугом
Над Джерелом вулиця                                                           	вулиця Над Джерелом
Над Липою вулиця                                                              	вулиця Над Липою
Над Лугом вулиця                                                              	вулиця Над Лугом
Над потоком вулиця                                                            	вулиця Над Потоком
Над Потоком вулиця                                                            	вулиця Над Потоком
Над ставом вулиця                                                             	вулиця Над Ставом
Над Ставом вулиця                                                             	вулиця Над Ставом
Надбереги вулиця                                                              	вулиця Надбереги
Надсяння вулиця                                                               	вулиця Надсяння
Назарія Яремчука вулиця                                                       	вулиця Назарія Яремчука
Наливайка вулиця                                                              	вулиця Наливайка
Наталії Забіли вулиця                                                         	вулиця Наталії Забіли
Наталії Кобринської вулиця                                                    	вулиця Наталії Кобринської
Наталії Олексовської вулиця                                                   	вулиця Наталії Олексовської
Наталії та Мар’яна Височанських вулиця                                        	вулиця Наталії та Марʼяна Височанських
Натана Калліра вулиця                                                         	вулиця Натана Калліра
Нафтовиків вулиця                                                             	вулиця Нафтовиків
Небесної сотні вулиця                                                         	вулиця Небесної Сотні
Небесної Сотні вулиця                                                         	вулиця Небесної Сотні
Невеличука вулиця                                                             	вулиця Невеличука
Невідомого Бійця вулиця                                                       	вулиця Невідомого Бійця
Невського вулиця                                                              	вулиця Невського
Незалежності вулиця                                                           	вулиця Незалежності
Незалежності України вулиця                                                   	вулиця Незалежності України
Немировича-Данченка вулиця                                                    	вулиця Немировича-Данченка
Немовлят вулиця                                                               	вулиця Немовлят
Нестерова вулиця                                                              	вулиця Нестерова
Нестора Літописця вулиця                                                      	вулиця Нестора Літописця
Нестора Морозенка вулиця                                                      	вулиця Нестора Морозенка
Несторова вулиця                                                              	вулиця Несторова
Нечуя-Левицького вулиця                                                       	вулиця Нечуя-Левицького
Нива вулиця                                                                   	вулиця Нива
Нижні Пасіки вулиця                                                           	вулиця Нижні Пасіки
Нижній Зворець вулиця                                                         	вулиця Нижній Зворець
Нижній Кінець вулиця                                                          	вулиця Нижній Кінець
Нижній Лан вулиця                                                             	вулиця Нижній Лан
Низький Замок вулиця                                                          	вулиця Низький Замок
Ніла Хасевича вулиця                                                          	вулиця Ніла Хасевича
Нова Ріка вулиця                                                              	вулиця Нова Ріка
Новаківського вулиця                                                          	вулиця Новаківського
Нове Село вулиця                                                              	вулиця Нове Село
Новий світ вулиця                                                             	вулиця Новий Світ
Новий Світ вулиця                                                             	вулиця Новий Світ
Новицького вулиця                                                             	вулиця Новицького
Новоселів вулиця                                                              	вулиця Новоселів
Новоставці вулиця                                                             	вулиця Новоставці
О.Бобикевича вулиця                                                           	вулиця О. Бобикевича
О. Ковча вулиця                                                               	вулиця О. Ковча
О. Методів вулиця                                                             	вулиця О. Методів
О. Морозенка вулиця                                                           	вулиця О. Морозенка
Попова О.С. вулиця                                                            	вулиця О. С. Попова
Обічки вулиця                                                                 	вулиця Обічки
Облазці вулиця                                                                	вулиця Облазці
Оболонь вулиця                                                                	вулиця Оболонь
Окапці вулиця                                                                 	вулиця Окапці
Оксани Петрусенко вулиця                                                      	вулиця Оксани Петрусенко
Олега Дяківа вулиця                                                           	вулиця Олега Дяківа
Олега Клима вулиця                                                            	вулиця Олега Клима
Олега Кошового вулиця                                                         	вулиця Олега Кошового
Олега Ольжича вулиця                                                          	вулиця Олега Ольжича
Олекса Довбуша вулиця                                                         	вулиця Олекса Довбуша
Олександра Архипенка вулиця                                                   	вулиця Олександра Архипенка
Олександра Богомольця вулиця                                                  	вулиця Олександра Богомольця
Олександра Ванька Лагодовського вулиця                                        	вулиця Олександра Ванька Лагодовського
Олександра Гасина вулиця                                                      	вулиця Олександра Гасина
Олександра Герцена вулиця                                                     	вулиця Олександра Герцена
Олександра Григор’єва вулиця                                                  	вулиця Олександра Григорʼєва
Олександра Довженка вулиця                                                    	вулиця Олександра Довженка
Олександра Духновича вулиця                                                   	вулиця Олександра Духновича
Олександра Карпінського вулиця                                                	вулиця Олександра Карпінського
Олександра Козловського вулиця                                                	вулиця Олександра Козловського
Олександра Кониського вулиця                                                  	вулиця Олександра Кониського
Олександра Кошиця вулиця                                                      	вулиця Олександра Кошиця
Олександра Лушпинського вулиця                                                	вулиця Олександра Лушпинського
Олександра Мариняка вулиця                                                    	вулиця Олександра Мариняка
Олександра Мигуши вулиця                                                      	вулиця Олександра Мигуши
Олександра Мишуги вулиця                                                      	вулиця Олександра Мишуги
Олександра Мурашка вулиця                                                     	вулиця Олександра Мурашка
Олександра Невського вулиця                                                   	вулиця Олександра Невського
Олександра Оглоблина вулиця                                                   	вулиця Олександра Оглоблина
Олександра Олеся вулиця                                                       	вулиця Олександра Олеся
Олександра Потебні вулиця                                                     	вулиця Олександра Потебні
Олександра Пушкіна вулиця                                                     	вулиця Олександра Пушкіна
Олександра Смакули вулиця                                                     	вулиця Олександра Смакули
Олександра Суворова вулиця                                                    	вулиця Олександра Суворова
Олександра Фредра вулиця                                                      	вулиця Олександра Фредра
Олександра Чоловського вулиця                                                 	вулиця Олександра Чоловського
Олександри Любич-Парахоняк вулиця                                             	вулиця Олександри Любич-Парахоняк
Олекси Бахматюка вулиця                                                       	вулиця Олекси Бахматюка
Олекси Бобикевича вулиця                                                      	вулиця Олекси Бобикевича
Олекси Гасина вулиця                                                          	вулиця Олекси Гасина
Олекси Гірника вулиця                                                         	вулиця Олекси Гірника
Олекси Давидовича вулиця                                                      	вулиця Олекси Давидовича
Олекси Довбуша вулиця                                                         	вулиця Олекси Довбуша
Олекси Кузьми вулиця                                                          	вулиця Олекси Кузьми
Олекси Новаківського вулиця                                                   	вулиця Олекси Новаківського
Олекси Пристая вулиця                                                         	вулиця Олекси Пристая
Олекси Синявського вулиця                                                     	вулиця Олекси Синявського
Олекси Стороженка вулиця                                                      	вулиця Олекси Стороженка
Олекси Харківа вулиця                                                         	вулиця Олекси Харківа
Олекси Шатківського вулиця                                                    	вулиця Олекси Шатківського
Олексія Венеціанова вулиця                                                    	вулиця Олексія Венеціанова
Олексія Зарицького вулиця                                                     	вулиця Олексія Зарицького
Олексія Ратича вулиця                                                         	вулиця Олексія Ратича
Олексія Тихого вулиця                                                         	вулиця Олексія Тихого
Олексія Чушака вулиця                                                         	вулиця Олексія Чушака
Олени Кульчицької вулиця                                                      	вулиця Олени Кульчицької
Олени Пчілки вулиця                                                           	вулиця Олени Пчілки
Олени Степанів вулиця                                                         	вулиця Олени Степанів
Олени Степанівни вулиця                                                       	вулиця Олени Степанівни
Олени Теліги вулиця                                                           	вулиця Олени Теліги
Олеськового вулиця                                                            	вулиця Олеськового
Олеся вулиця                                                                  	вулиця Олеся
Олеся Бабія вулиця                                                            	вулиця Олеся Бабія
Олеся Гончара вулиця                                                          	вулиця Олеся Гончара
Олеся Курбаса вулиця                                                          	вулиця Олеся Курбаса
Ольги Басараб вулиця                                                          	вулиця Ольги Басараб
Ольги Бачинської вулиця                                                       	вулиця Ольги Бачинської
Ольги Дучимінської вулиця                                                     	вулиця Ольги Дучимінської
Ольги Івашко вулиця                                                           	вулиця Ольги Івашко
Ольги Кобилянської вулиця                                                     	вулиця Ольги Кобилянської
Ольги Рошкевич вулиця                                                         	вулиця Ольги Рошкевич
Ольги Хоружинської вулиця                                                     	вулиця Ольги Хоружинської
Ольхового вулиця                                                              	вулиця Ольхового
Омеляна Вікарчука вулиця                                                      	вулиця Омеляна Вікарчука
Омеляна Грабця вулиця                                                         	вулиця Омеляна Грабця
Омеляна Ковча вулиця                                                          	вулиця Омеляна Ковча
Омеляна Поповича вулиця                                                       	вулиця Омеляна Поповича
Омеляна Стоцького вулиця                                                      	вулиця Омеляна Стоцького
Онишкевича вулиця                                                             	вулиця Онишкевича
Оноре де Бальзака вулиця                                                      	вулиця Оноре де Бальзака
Опанаса Сластіона вулиця                                                      	вулиця Опанаса Сластіона
Опришків вулиця                                                               	вулиця Опришків
Опшар вулиця                                                                  	вулиця Опшар
Орджонікідзе вулиця                                                           	вулиця Орджонікідзе
Орла вулиця                                                                   	вулиця Орла
Оседля вулиця                                                                 	вулиця Оседля
Осипа Бодянського вулиця                                                      	вулиця Осипа Бодянського
Осипа Думина вулиця                                                           	вулиця Осипа Думина
Осипа Куриласа вулиця                                                         	вулиця Осипа Куриласа
Осипа Лещука вулиця                                                           	вулиця Осипа Лещука
Осипа Маковея вулиця                                                          	вулиця Осипа Маковея
Осипа Назарука вулиця                                                         	вулиця Осипа Назарука
Осипа Роздольського вулиця                                                    	вулиця Осипа Роздольського
Осипа Сорохтея вулиця                                                         	вулиця Осипа Сорохтея
Осипа Турянського вулиця                                                      	вулиця Осипа Турянського
Оскара Кольберга вулиця                                                       	вулиця Оскара Кольберга
Оссолинських вулиця                                                           	вулиця Оссолинських
Остапа Вересая вулиця                                                         	вулиця Остапа Вересая
Остапа Вишні вулиця                                                           	вулиця Остапа Вишні
Остапа Каратницького вулиця                                                   	вулиця Остапа Каратницького
Остапа Луцького вулиця                                                        	вулиця Остапа Луцького
Остапа Нижанківського вулиця                                                  	вулиця Остапа Нижанківського
Остапа Оброци вулиця                                                          	вулиця Остапа Оброци
Остапа Терлецького вулиця                                                     	вулиця Остапа Терлецького
Осташевського вулиця                                                          	вулиця Осташевського
Островського вулиця                                                           	вулиця Островського
Островчик вулиця                                                              	вулиця Островчик
Остроградських вулиця                                                         	вулиця Остроградських
Отця Боднара вулиця                                                           	вулиця Отця Боднара
Отця Василя Ярка вулиця                                                       	вулиця Отця Василя Ярка
Отця Володимира Петрика вулиця                                                	вулиця Отця Володимира Петрика
Отця Григорія Мороза вулиця                                                   	вулиця Отця Григорія Мороза
Отця Іздрика вулиця                                                           	вулиця Отця Іздрика
Отця Михайла Захарця вулиця                                                   	вулиця Отця Михайла Захарця
Отця Михайла Мосори вулиця                                                    	вулиця Отця Михайла Мосори
Отця Павла Кікти вулиця                                                       	вулиця Отця Павла Кікти
Отця Софрона Яциківа вулиця                                                   	вулиця Отця Софрона Яциківа
Отця Станіслава Дашо вулиця                                                   	вулиця Отця Станіслава Дашо
Отця Степана Ридея вулиця                                                     	вулиця Отця Степана Ридея
отця Степана Хомінського вулиця                                               	вулиця Отця Степана Хомінського
П. Мухи вулиця                                                                	вулиця П. Мухи
Щасливого П. вулиця                                                           	вулиця П. Щасливого
Павела Йозефа Шафарика вулиця                                                 	вулиця Павела Йозефа Шафарика
Павла Апостола вулиця                                                         	вулиця Павла Апостола
Павла Грабовського вулиця                                                     	вулиця Павла Грабовського
Павла Коваля вулиця                                                           	вулиця Павла Коваля
Павла Ковжуна вулиця                                                          	вулиця Павла Ковжуна
Палюшинського Павла вулиця                                                    	вулиця Павла Палюшинського
Павла Полуботка вулиця                                                        	вулиця Павла Полуботка
Павла Полуботко вулиця                                                        	вулиця Павла Полуботка
Павла Поповича вулиця                                                         	вулиця Павла Поповича
Павла Римлянина вулиця                                                        	вулиця Павла Римлянина
Павла Сбитова вулиця                                                          	вулиця Павла Сбитова
Павла Скоропадського вулиця                                                   	вулиця Павла Скоропадського
Павла Тетері вулиця                                                           	вулиця Павла Тетері
Павла Тичини вулиця                                                           	вулиця Павла Тичини
Павла Тучапського вулиця                                                      	вулиця Павла Тучапського
Павла Чубинського вулиця                                                      	вулиця Павла Чубинського
Павлика вулиця                                                                	вулиця Павлика
Павліківський Потік вулиця                                                    	вулиця Павліківський Потік
Павлова вулиця                                                                	вулиця Павлова
Памви Беринди вулиця                                                          	вулиця Памви Беринди
Памво Беринди вулиця                                                          	вулиця Памво Беринди
Панаса Мирного вулиця                                                         	вулиця Панаса Мирного
Панаса Саксаганського вулиця                                                  	вулиця Панаса Саксаганського
Панасівка вулиця                                                              	вулиця Панасівка
Панська Гора вулиця                                                           	вулиця Панська Гора
Пантелеймона Куліша вулиця                                                    	вулиця Пантелеймона Куліша
Панфілова вулиця                                                              	вулиця Панфілова
Папаніна вулиця                                                               	вулиця Папаніна
Папанінців вулиця                                                             	вулиця Папанінців
Папарівка вулиця                                                              	вулиця Папарівка
Папи Івана Павла ІІ вулиця                                                    	вулиця Папи Івана Павла II
Папи Іоана Павла ІІ вулиця                                                    	вулиця Папи Іоана Павла II
Папірня вулиця                                                                	вулиця Папірня
Папрочизна вулиця                                                             	вулиця Папрочизна
Парфановичів вулиця                                                           	вулиця Парфановичів
Пархоменка вулиця                                                             	вулиця Пархоменка
Паславської вулиця                                                            	вулиця Паславської
Пастівник вулиця                                                              	вулиця Пастівник
Патріарха Димитрія Яреми вулиця                                               	вулиця Патріарха Димитрія Яреми
Патріотів вулиця                                                              	вулиця Патріотів
Пащиця вулиця                                                                 	вулиця Пащиця
Пелехатого вулиця                                                             	вулиця Пелехатого
Перегорода вулиця                                                             	вулиця Перегорода
Передмістя вулиця                                                             	вулиця Передмістя
Перемоги вулиця                                                               	вулиця Перемоги
Пересади вулиця                                                               	вулиця Пересади
Перехід вулиця                                                                	вулиця Перехід
Перехрестя вулиця                                                             	вулиця Перехрестя
Персенківка вулиця                                                            	вулиця Персенківка
Перший Верх вулиця                                                            	вулиця Перший Верх
Перший Потік вулиця                                                           	вулиця Перший Потік
Першої Кінної вулиця                                                          	вулиця Першої Кінної
Петлюри вулиця                                                                	вулиця Петлюри
Петра Адермаха вулиця                                                         	вулиця Петра Адермаха
Петра Андрусіва вулиця                                                        	вулиця Петра Андрусіва
Петра Війтовича вулиця                                                        	вулиця Петра Війтовича
Петра Григоренка вулиця                                                       	вулиця Петра Григоренка
Петра Дорошенка вулиця                                                        	вулиця Петра Дорошенка
Петра і Павла вулиця                                                          	вулиця Петра і Павла
Петра Калнишевського вулиця                                                   	вулиця Петра Калнишевського
Петра Карманського вулиця                                                     	вулиця Петра Карманського
Петра Козланюка вулиця                                                        	вулиця Петра Козланюка
