Івана Маркова вулиця	вулиця Івана Маркова
Івана Миколайчука вулиця	вулиця Івана Миколайчука
Івана Огієнка вулиця	вулиця Івана Огієнка
Івана Олінського вулиця	вулиця Івана Олінського
Івана Похитонова вулиця	вулиця Івана Похитонова
Івана Пулюя, вулиця	вулиця Івана Пулюя
Івана Сербина вулиця	вулиця Івана Сербина
Івана Сірка вулиця	вулиця Івана Сірка
Івана Усенка вулиця	вулиця Івана Усенка
Івана Франка вулиця	вулиця Івана Франка
Івана Чиркіна вулиця	вулиця Івана Чиркіна
Івана Яковенка вулиця	вулиця Івана Яковенка
Іванова вулиця	вулиця Іванова
Івасюка вулиця	вулиця Івасюка
Ігіта Гаспаряна вулиця	вулиця Ігіта Гаспаряна
Ігоря Горовенка вулиця	вулиця Ігоря Горовенка
Ігоря Сікорського вулиця	вулиця Ігоря Сікорського
Іліци вулиця;Червоноармійська вулиця	вулиця Іліци;Червоноармійська вулиця
Іллі Звєрєва вулиця	вулиця Іллі Звєрєва
Ілліча вулиця	вулиця Ілліча
ім.Артеменка вулиця	вулиця імені Артеменка
ім.Крайтора С.П. вулиця	вулиця імені С. П. Крайтора
ім.Шевченка вулиця	вулиця імені Шевченка
Інгульська Набережна вулиця	вулиця Інгульська Набережна
Іоанна Богослова вулиця	вулиця Іоанна Богослова
Їжакевича вулиця	вулиця Їжакевича
к. Лібкнехта вулиця	вулиця К. Лібкнехта
Кавказька Площа вулиця	вулиця Кавказька Площа
Казакова вулиця	вулиця Казакова
Калашника вулиця	вулиця Калашника
вулиця калініна	вулиця Калініна
Калініна вулиця	вулиця Калініна
Калінова вулиця	вулиця Калінова
Калнишевського вулиця	вулиця Калнишевського
Калюжного вулиця	вулиця Калюжного
Каляєва вулиця	вулиця Каляєва
Канатенка вулиця	вулиця Канатенка
Карбишева вулиця	вулиця Карбишева
Карбишева вулиця;Фрунзе вулиця	вулиця Карбишева;вулиця Фрунзе
Карла Лібкнехта вулиця	вулиця Карла Лібкнехта
вулиця Карла маркса;Karl Marx Street	вулиця Карла Маркса
Карла Маркса вулиця	вулиця Карла Маркса
Кармелюка вулиця	вулиця Кармелюка
Кароля Шимановського вулиця	вулиця Кароля Шимановського
Карпенка Карого вулиця	вулиця Карпенка-Карого
Карпенка-Карого вулиця	вулиця Карпенка-Карого
Катани вулиця	вулиця Катани
Катранівка вулиця	вулиця Катранівка
Києвської Русі вулиця	вулиця Києвської Русі
Кігіма вулиця	вулиця Кігіма
Кім вулиця	вулиця Кім
Кірова вулиця	вулиця Кірова
Клави Байраченко вулиця	вулиця Клави Байраченко
Клари Цеткін вулиця	вулиця Клари Цеткін
Княгині Ольги вулиця	вулиця Княгині Ольги
Князька вулиця	вулиця Князька
Кобзаря вулиця	вулиця Кобзаря
Кобилянської вулиця	вулиця Кобилянської
Коваленка вулиця	вулиця Коваленка
Ковпака вулиця	вулиця Ковпака
Ковтуна вулиця	вулиця Ковтуна
Кожем’якіна вулиця	вулиця Кожемʼякіна
Козака Мамая вулиця	вулиця Козака Мамая
