Генерал-майора Момота вулиця              	вулиця Генерал-майора Момота
Генерала Андрія Дрофи вулиця              	вулиця Генерала Андрія Дрофи
генерала Дерев’ янка вулиця               	вулиця Генерала Деревʼянка
Генерала Дерев’ янка вулиця               	вулиця Генерала Деревʼянка
Генерала Лазарєва вулиця                  	вулиця Генерала Лазарєва
Генерала Момота вулиця                    	вулиця Генерала Момота
Георгія Коваля вулиця                     	вулиця Георгія Коваля
Гергелівка вулиця                         	вулиця Гергелівка
Героїв АТО вулиця                         	вулиця Героїв АТО
Героїв Бронепоїзда вулиця                 	вулиця Героїв Бронепоїзда
вул. Героїв Дніпра                        	вулиця Героїв Дніпра
Героїв Дніпра вулиця                      	вулиця Героїв Дніпра
Героїв Євромайдану вулиця                 	вулиця Героїв Євромайдану
Героїв Крут вулиця                        	вулиця Героїв Крут
Героїв Майдану вулиця                     	вулиця Героїв Майдану
Героїв Небесної Сотні вулиця              	вулиця Героїв Небесної Сотні
Героїв праці вулиця                       	вулиця Героїв Праці
Героїв Праці вулиця                       	вулиця Героїв Праці
Героїв розвідників вулиця                 	вулиця Героїв Розвідників
Героїв Сталінграду вулиця                 	вулиця Героїв Сталінграду
Героїв України вулиця                     	вулиця Героїв України
Героїв УПА вулиця                         	вулиця Героїв УПА
Героїв Холодного Яру вулиця               	вулиця Героїв Холодного Яру
Героїв Холодноярців вулиця                	вулиця Героїв Холодноярців
Героїв Чорнобиля вулиця                   	вулиця Героїв Чорнобиля
Героїв-Чорнобильців вулиця                	вулиця Героїв-Чорнобильців
Героя Зоріна вулиця                       	вулиця Героя Зоріна
Герцена вулиця                            	вулиця Герцена
Гетьмана Вишневецького вулиця             	вулиця Гетьмана Вишневецького
Гетьмана Мазепи вулиця                    	вулиця Гетьмана Мазепи
Гетьмана Михайла Дорошенка вулиця         	вулиця Гетьмана Михайла Дорошенка
Гетьмана Сагайдачного вулиця              	вулиця Гетьмана Сагайдачного
Гетьмана Федоровича вулиця                	вулиця Гетьмана Федоровича
Гетьманський Шлях вулиця                  	вулиця Гетьманський Шлях
Глібка вулиця                             	вулиця Глібка
Глібова вулиця                            	вулиця Глібова
Глінки вулиця                             	вулиця Глінки
Гоголя вулиця                             	вулиця Гоголя
Головатого вулиця                         	вулиця Головатого
Голубенків вулиця                         	вулиця Голубенків
Голубця вулиця                            	вулиця Голубця
Гонти вулиця                              	вулиця Гонти
Гончара вулиця                            	вулиця Гончара
Гончаренків вулиця                        	вулиця Гончаренків
Гончарівка вулиця                         	вулиця Гончарівка
Гончарука вулиця                          	вулиця Гончарука
Гордієнка вулиця                          	вулиця Гордієнка
Горигорія Сковороди вулиця                	вулиця Горигорія Сковороди
Горліса-Горського вулиця                  	вулиця Горліса-Горського
горького вулиця                           	вулиця Горького
Горького вулиця                           	вулиця Горького
Грабовського вулиця                       	вулиця Грабовського
Графа Олексія Бобринського вулиця         	вулиця Графа Олексія Бобринського
Гребенюка вулиця                          	вулиця Гребенюка
Гречка вулиця                             	вулиця Гречка
Грибоєдова вулиця                         	вулиця Грибоєдова
Григора Тютюнника вулиця                  	вулиця Григора Тютюнника
Григорія Варавви вулиця                   	вулиця Григорія Варавви
Григорія Гончара вулиця                   	вулиця Григорія Гончара
Григорія Грушевського вулиця              	вулиця Григорія Грушевського
Григорія Гуляницького вулиця              	вулиця Григорія Гуляницького
Григорія Сковороди вулиця                 	вулиця Григорія Сковороди
Григорія Честахівського вулиця            	вулиця Григорія Честахівського
Григор’ єва вулиця                        	вулиця Григорʼєва
Гриненка вулиця                           	вулиця Гриненка
Громового вулиця                          	вулиця Громового
Грузиненка вулиця                         	вулиця Грузиненка
Грушевського вулиця                       	вулиця Грушевського
Гулака-Артемовського вулиця               	вулиця Гулака-Артемовського
Гулькіна вулиця                           	вулиця Гулькіна
Гуляєва вулиця                            	вулиця Гуляєва
Гусарова вулиця                           	вулиця Гусарова
Гусєва вулиця                             	вулиця Гусєва
Д. Галицького вулиця                      	вулиця Д. Галицького
Д.Лопатка вулиця                          	вулиця Д. Лопатка
Д. Черкаського вулиця                     	вулиця Д. Черкаського
вулиця Д.Ющенка                           	вулиця Д. Ющенка
Давида Черкаського вулиця                 	вулиця Давида Черкаського
Давиденка вулиця                          	вулиця Давиденка
Данила Галицького вулиця                  	вулиця Данила Галицького
Данила Кононенка вулиця                   	вулиця Данила Кононенка
Данила Кушніра вулиця                     	вулиця Данила Кушніра
Данила Нарбута вулиця                     	вулиця Данила Нарбута
Данилівка вулиця                          	вулиця Данилівка
Дашка вулиця                              	вулиця Дашка
Дашкевича вулиця                          	вулиця Дашкевича
Двухбабного вулиця                        	вулиця Двухбабного
Декабристів вулиця                        	вулиця Декабристів
Декаленка вулиця                          	вулиця Декаленка
Демуцького вулиця                         	вулиця Демуцького
Демченка вулиця                           	вулиця Демченка
Дем'яна Лисенка вулиця                    	вулиця Демʼяна Лисенка
Дениса Бабченка вулиця                    	вулиця Дениса Бабченка
Дениса Давидова вулиця                    	вулиця Дениса Давидова
Депутатів вулиця                          	вулиця Депутатів
Деревянко вулиця                          	вулиця Деревянко
Дерев'янка вулиця                         	вулиця Деревʼянка
Дерев’янка вулиця                         	вулиця Деревʼянка
Десантників вулиця                        	вулиця Десантників
Джеджелія вулиця                          	вулиця Джеджелія
Дзержинського вулиця                      	вулиця Дзержинського
Дзигунського вулиця                       	вулиця Дзигунського
Діброва вулиця                            	вулиця Діброва
Дівухівка вулиця                          	вулиця Дівухівка
Дімітрова вулиця                          	вулиця Дімітрова
Дмитра Коломійця вулиця                   	вулиця Дмитра Коломійця
Дмитра Кузьміна вулиця                    	вулиця Дмитра Кузьміна
Дмитра Немеровського вулиця               	вулиця Дмитра Немеровського
Добровольського вулиця                    	вулиця Добровольського
Добровольців вулиця                       	вулиця Добровольців
Добролюбова вулиця                        	вулиця Добролюбова
Доватора вулиця                           	вулиця Доватора
Довганя вулиця                            	вулиця Довганя
Довженка вулиця                           	вулиця Довженка
Докучаєва вулиця                          	вулиця Докучаєва
Донця вулиця                              	вулиця Донця
Дорошенка вулиця                          	вулиця Дорошенка
Достоєвського вулиця                      	вулиця Достоєвського
Драченка вулиця                           	вулиця Драченка
Дружби вулиця                             	вулиця Дружби
Дружби народів вулиця                     	вулиця Дружби Народів
Дружби Народів вулиця                     	вулиця Дружби Народів
Дубина вулиця                             	вулиця Дубина
Дубового вулиця                           	вулиця Дубового
Дуденків вулиця                           	вулиця Дуденків
Думитрашка вулиця                         	вулиця Думитрашка
Дунаєвського вулиця                       	вулиця Дунаєвського
Дяченка вулиця                            	вулиця Дяченка
Енгельса вулиця                           	вулиця Енгельса
Енергетиків вулиця                        	вулиця Енергетиків
Енитузіастів вулиця                       	вулиця Ентузіастів
Ентузіастів вулиця                        	вулиця Ентузіастів
Є. Лисенка вулиця                         	вулиця Є. Лисенка
Євгена Іванченка вулиця                   	вулиця Євгена Іванченка
Євгена Коновальця вулиця                  	вулиця Євгена Коновальця
Євгена Півня вулиця                       	вулиця Євгена Півня
Євгена Чикаленка вулиця                   	вулиця Євгена Чикаленка
Євгенії Любомської вулиця                 	вулиця Євгенії Любомської
Євгенія Войцехівського вулиця             	вулиця Євгенія Войцехівського
Єдності вулиця                            	вулиця Єдності
Єсеніна вулиця                            	вулиця Єсеніна
Жданова вулиця                            	вулиця Жданова
Желєзнякова вулиця                        	вулиця Желєзнякова
Жеребцова вулиця                          	вулиця Жеребцова
Жирного вулиця                            	вулиця Жирного
вулиця Житловий масив                     	вулиця Житловий Масив
вулиця Ж.Революції                        	вулиця Жовтневої Революції
жовтневої революції вулиця                	вулиця Жовтневої Революції
Жовтневої революції вулиця                	вулиця Жовтневої Революції
Жовтневої Революції вулиця                	вулиця Жовтневої Революції
Жомера вулиця                             	вулиця Жомера
Жукова вулиця                             	вулиця Жукова
Жуковського вулиця                        	вулиця Жуковського
З. Космодем’ янської вулиця               	вулиця З. Космодемʼянської
Забенкова вулиця                          	вулиця Забенкова
Завгородніх вулиця                        	вулиця Завгородніх
Заводище вулиця                           	вулиця Заводище
Завойка вулиця                            	вулиця Завойка
Завойко вулиця                            	вулиця Завойко
Загора вулиця                             	вулиця Загора
Задніпровського вулиця                    	вулиця Задніпровського
Закоротина вулиця                         	вулиця Закоротина
Залізняка вулиця                          	вулиця Залізняка
Замедянського вулиця                      	вулиця Замедянського
Заньковецької вулиця                      	вулиця Заньковецької
Заплішнього вулиця                        	вулиця Заплішнього
Запорізької Січі вулиця                   	вулиця Запорізької Січі
Заріччя вулиця                            	вулиця Заріччя
Заруддя вулиця                            	вулиця Заруддя
Заслонова вулиця                          	вулиця Заслонова
Затонського вулиця                        	вулиця Затонського
Захара Гончарука вулиця                   	вулиця Захара Гончарука
Захаренка вулиця                          	вулиця Захаренка
Захарченка вулиця                         	вулиця Захарченка
Захар'єва вулиця                          	вулиця Захарʼєва
Захисників Вітчизни вулиця                	вулиця Захисників Вітчизни
Захисників України вулиця                 	вулиця Захисників України
Зв’язківців вулиця                        	вулиця Звʼязківців
Зелений кут вулиця                        	вулиця Зелений Кут
Зеленюка вулиця                           	вулиця Зеленюка
Зірка вулиця                              	вулиця Зірка
Злагоди вулиця                            	вулиця Злагоди
вулиця Зої Космодем'янської               	вулиця Зої Космодемʼянської
