Юрія Тимошенка („Тарапуньки”) вулиця                               	вулиця Юрія Тимошенка «Тарапуньки»
Урбанського Броніслава вулиця                                      	вулиця Броніслава Урбанського
Саксаганського вулиця                                              	вулиця Саксаганського
Петра Лубенського вулиця                                           	вулиця Петра Лубенського
Дмитра Зеленського вулиця                                          	вулиця Дмитра Зеленського
Павла Чубинського вулиця                                           	вулиця Павла Чубинського
М.Коцюбинського вулиця                                             	вулиця М. Коцюбинського
Михайла Коцюбинського вулиця                                       	вулиця Михайла Коцюбинського
Коцюбинського провулок                                             	провулок Коцюбинського
Коцюбинського вулиця                                               	вулиця Коцюбинського
Рудинського провулок                                               	провулок Рудинського
Менжинського вулиця                                                	вулиця Менжинського
Миколи Божка-Божинського вулиця                                    	вулиця Миколи Божка-Божинського
Дзержинського провулок                                             	провулок Дзержинського
провулок дзержинського                                             	провулок Дзержинського
Дзержинського вулиця                                               	вулиця Дзержинського
Паторжинського провулок                                            	провулок Паторжинського
Василя Сухомлинського вулиця                                       	вулиця Василя Сухомлинського
Сухомлинського вулиця                                              	вулиця Сухомлинського
Нікона Карпинського вулиця                                         	вулиця Нікона Карпинського
Кашинського вулиця                                                 	вулиця Кашинського
Ушинського вулиця                                                  	вулиця Ушинського
Сушинського вулиця                                                 	вулиця Сушинського
Антіна Кущинського провулок                                        	провулок Антіна Кущинського
Віссаріона Белінського вулиця                                      	вулиця Віссаріона Белінського
Белінського провулок                                               	провулок Белінського
Белінського вулиця                                                 	вулиця Белінського
Бєлінського провулок                                               	провулок Бєлінського
Михайла Полонського вулиця                                         	вулиця Михайла Полонського
Затонського вулиця                                                 	вулиця Затонського
Корсунського вулиця                                                	вулиця Корсунського
Павла Бодянського провулок                                         	провулок Павла Бодянського
Павла Бородянського провулок                                       	провулок Павла Бородянського
Вороського вулиця                                                  	вулиця Вороського
Григоровича-Барського проїзд                                       	проїзд Григоровича-Барського
Володарського тупик                                                	тупик Володарського
Володарського провулок                                             	провулок Володарського
Володарського вулиця                                               	вулиця Володарського
Луначарського вулиця                                               	вулиця Луначарського
Олександра Печерського вулиця                                      	вулиця Олександра Печерського
Миколи Сціборського тупик                                          	тупик Миколи Сціборського
Юрія Горліс-Горського провулок                                     	провулок Юрія Горліс-Горського
Горліс-Горського вулиця                                            	вулиця Горліс-Горського
Сікорського провулок                                               	провулок Сікорського
Ігоря Сікорського вулиця                                           	вулиця Ігоря Сікорського
Сікорського Ігоря вулиця                                           	вулиця Ігоря Сікорського
Мусорського провулок                                               	провулок Мусорського
Олекси Левитського провулок                                        	провулок Олекси Левитського
Максима Краснокутського вулиця                                     	вулиця Максима Краснокутського
Максима Рильського провулок                                        	провулок Максима Рильського
Максима Рильського вулиця                                          	вулиця Максима Рильського
Рильського вулиця                                                  	вулиця Рильського
Ізмаільського провулок                                             	провулок Ізмаїльського
Добровольського вулиця                                             	вулиця Добровольського
Метропольського вулиця                                             	вулиця Метропольського
Дмитра Балацького вулиця                                           	вулиця Дмитра Балацького
Якова Затенацького вулиця                                          	вулиця Якова Затенацького
Сацького вулиця                                                    	вулиця Сацького
Артема Негребецького вулиця                                        	вулиця Артема Негребецького
Олександра Вишневецького провулок                                  	провулок Олександра Вишневецького
Олександра Вишневецького вулиця                                    	вулиця Олександра Вишневецького
Дмитра Вишневецького провулок                                      	провулок Дмитра Вишневецького
Коренецького вулиця                                                	вулиця Коренецького
Івана Зарецького вулиця                                            	вулиця Івана Зарецького
Михайла Вербицького вулиця                                         	вулиця Михайла Вербицького
Ставицького вулиця                                                 	вулиця Ставицького
Ореста Левицького вулиця                                           	вулиця Ореста Левицького
Івана Нечуя-Левицького вулиця                                      	вулиця Івана Нечуя-Левицького
Нечуя-Левицького тупик                                             	тупик Нечуя-Левицького
Нечуй-Левицького вулиця                                            	вулиця Нечуя-Левицького
Нечуя-Левицького вулиця                                            	вулиця Нечуя-Левицького
Андрія Лівицького вулиця                                           	вулиця Андрія Лівицького
Халявицького вулиця                                                	вулиця Халявицького
Данила Галицького вулиця                                           	вулиця Данила Галицького
Кропивницького провулок                                            	провулок Кропивницького
Кропивницького вулиця                                              	вулиця Кропивницького
Свидницького вулиця                                                	вулиця Свидницького
Комарницького вулиця                                               	вулиця Комарницького
Академіка Квасницького вулиця                                      	вулиця Академіка Квасницького
Б. Хмельницького вулиця                                            	вулиця Б. Хмельницького
Б.Хмельницького вулиця                                             	вулиця Б. Хмельницького
Богдана Хмельницького тупик                                        	тупик Богдана Хмельницького
Богдана Хмельницького провулок                                     	провулок Богдана Хмельницького
Богдана Хмельницького бульвар                                      	бульвар Богдана Хмельницького
Богдана Хмельницького вулиця                                       	вулиця Богдана Хмельницького
Хмельницького провулок                                             	провулок Хмельницького
Хмельницького вулиця                                               	вулиця Хмельницького
Михайла Старицького проїзд                                         	проїзд Михайла Старицького
Михайла Старицького провулок                                       	провулок Михайла Старицького
Урицького вулиця                                                   	вулиця Урицького
Сергія Кульчицького вулиця                                         	вулиця Сергія Кульчицького
Навроцького вулиця                                                 	вулиця Навроцького
Володимира Висоцького вулиця                                       	вулиця Володимира Висоцького
Висоцького вулиця                                                  	вулиця Висоцького
Леуцького тупік                                                    	тупик Леуцького
Леуцького вулиця                                                   	вулиця Леуцького
Івана Піддубного вулиця                                            	вулиця Івана Піддубного
Піддубного провулок                                                	провулок Піддубного
Дем’яна Бєдного вулиця                                             	вулиця Демʼяна Бєдного
Олександра Бідного вулиця                                          	вулиця Олександра Бідного
Андрія Первозванного вулиця                                        	вулиця Андрія Первозванного
Будьонного провулок                                                	провулок Будьонного
Будьонного вулиця                                                  	вулиця Будьонного
вулця Будьоного                                                    	вулиця Будьоного
П.Мирного вулиця                                                   	вулиця П. Мирного
Панаса Мирного провулок                                            	провулок Панаса Мирного
Панаса Мирного вулиця                                              	вулиця Панаса Мирного
Гетьмана Сагайдачного вулиця                                       	вулиця Гетьмана Сагайдачного
Петра Сагайдачного вулиця                                          	вулиця Петра Сагайдачного
Сагайдачного вулиця                                                	вулиця Сагайдачного
Салашного вулиця                                                   	вулиця Салашного
Павла Загребельного провулок                                       	провулок Павла Загребельного
Загребельного Павла вулиця                                         	вулиця Павла Загребельного
Івана Багряного вулиця                                             	вулиця Івана Багряного
Карпенка-Карого провулок                                           	провулок Карпенка-Карого
Карпенка-Карого вулиця                                             	вулиця Карпенка-Карого
Святослава Хороброго провулок                                      	провулок Святослава Хороброго
Ярослава Мудрого вулиця                                            	вулиця Ярослава Мудрого
Григорія Китастого вулиця                                          	вулиця Григорія Китастого
Лева Толстого провулок                                             	провулок Лева Толстого
Лева Толстого вулиця                                               	вулиця Лева Толстого
Льва Толстого провулок                                             	провулок Льва Толстого
Льва Толстого вулиця                                               	вулиця Льва Толстого
1-й Толстого тупик                                                 	1-й тупик Толстого
1-й Толстого провулок                                              	1-й провулок Толстого
2-й Толстого провулок                                              	2-й провулок Толстого
Толстого вулиця                                                    	вулиця Толстого
Олександра Лютого вулиця                                           	вулиця Олександра Лютого
Заливчого провулок                                                 	провулок Заливчого
Заливчого вулиця                                                   	вулиця Заливчого
Лазо провулок                                                      	провулок Лазо
Сергія Лазо вулиця                                                 	вулиця Сергія Лазо
Лазо вулиця                                                        	вулиця Лазо
Шуліко вулиця                                                      	вулиця Шуліко
Сакко вулиця                                                       	вулиця Сакко
Сакко вулиця;Sacco Street                                          	вулиця Сакко
Надії Бабенко вулиця                                               	вулиця Надії Бабенко
Правденко провулок                                                 	провулок Правденко
Діденко вулиця                                                     	вулиця Діденко
Короленко провулок                                                 	провулок Короленко
Короленко вулиця                                                   	вулиця Короленко
Пархоменко вулиця                                                  	вулиця Пархоменко
Поліни Осипенко тупик                                              	тупик Поліни Осипенко
Поліни Осипенко провулок                                           	провулок Поліни Осипенко
1-й Поліни Осипенко провулок                                       	1-й провулок Поліни Осипенко
2-й Поліни Осипенко провулок                                       	2-й провулок Поліни Осипенко
3-й Поліни Осипенко провулок                                       	3-й провулок Поліни Осипенко
4-й Поліни Осипенко провулок                                       	4-й провулок Поліни Осипенко
Осипенко вулиця                                                    	вулиця Осипенко
Осіпенко провулок                                                  	провулок Осіпенко
Ольги Бондаренко вулиця                                            	вулиця Ольги Бондаренко
Комісара Овчаренко вулиця                                          	вулиця Комісара Овчаренко
Оксани Петрусенко вулиця                                           	вулиця Оксани Петрусенко
Ліни Костенко вулиця                                               	вулиця Ліни Костенко
Костенко провулок                                                  	провулок Костенко
Костенко вулиця                                                    	вулиця Костенко
Тамари Гриценко провулок                                           	провулок Тамари Гриценко
Марії Примаченко провулок                                          	провулок Марії Примаченко
Марії Примаченко вулиця                                            	вулиця Марії Примаченко
Раїси Кириченко вулиця                                             	вулиця Раїси Кириченко
Наді Курченко вулиця                                               	вулиця Наді Курченко
Надії Курченко провулок                                            	провулок Надії Курченко
Курченко вулиця                                                    	вулиця Курченко
Корніяченко провулок                                               	провулок Корніяченко
Тимошенко вулиця                                                   	вулиця Тимошенко
Винахідниці Ющенко вулиця                                          	вулиця Винахідниці Ющенко
Марінеско вулиця;Маринеско вулиця                                  	вулиця Марінеско
Авіамістечко вулиця                                                	вулиця Авіамістечко
Агромістечко вулиця                                                	вулиця Агромістечко
Нафтомістечко вулиця                                               	вулиця Нафтомістечко
Оксани Мешко провулок                                              	провулок Оксани Мешко
Оксани Мешко вулиця                                                	вулиця Оксани Мешко
Академіка Грішко вулиця                                            	вулиця Академіка Грішко
Валентини Федько вулиця                                            	вулиця Валентини Федько
Засядько вулиця                                                    	вулиця Засядько
Риворотько вулиця                                                  	вулиця Риворотько
Покотило вулиця                                                    	вулиця Покотило
Гастелло вулиця                                                    	вулиця Гастелло
Гастелло вулиця;Hastello Street;ulica Gastełły                     	вулиця Гастелло
Довге Озеро вулиця                                                 	вулиця Довге Озеро
Героїв АТО вулиця                                                  	вулиця Героїв АТО
Новий Базар вулиця                                                 	вулиця Новий Базар
Сосновий Бір вулиця                                                	вулиця Сосновий Бір
Косий хутір вулиця                                                 	вулиця Косий Хутір
60 років СРСР вулиця                                               	вулиця 60 років СРСР
вулиця 50 річчя СРСР                                               	вулиця 50-річчя СРСР
50-річчя СРСР вулиця                                               	вулиця 50-річчя СРСР
Катерини Білокур провулок                                          	провулок Катерини Білокур
Катерини Білокур вулиця                                            	вулиця Катерини Білокур
Глибокий Яр вулиця                                                 	вулиця Глибокий Яр
Михайлівський Яр вулиця                                            	вулиця Михайлівський Яр
Зелений Яр провулок                                                	провулок Зелений Яр
Яр вулиця                                                          	вулиця Яр
ГЕС вулиця                                                         	вулиця ГЕС
Красноперівський ліс вулиця                                        	вулиця Красноперівський Ліс
23-го З’їзду КПРС вулиця                                           	вулиця XXIII Зʼїзду КПРС
вулиця 27 з'їзду КПРС                                              	вулиця XXVII Зʼїзду КПРС
1-й Проспект вулиця                                                	вулиця 1-й Проспект
2-й Проспект вулиця                                                	вулиця 2-й Проспект
3-й Проспект вулиця                                                	вулиця 3-й Проспект
Полтавький проспект                                                	Полтавський проспект
Героїв Крут провулок                                               	провулок Героїв Крут
Героїв Крут вулиця                                                 	вулиця Героїв Крут
Героїв Сталінграда вулиця                                          	вулиця Героїв Сталінграду
Героїв Сталінграду вулиця                                          	вулиця Героїв Сталінграду
Полтавського Полку вулиця                                          	вулиця Полтавського Полку
1-й Лубенського Полку провулок                                     	1-й провулок Лубенського Полку
Лубенського Полку вулиця                                           	вулиця Лубенського Полку
1905 року вулиця                                                   	вулиця 1905 року
1905-го року вулиця                                                	вулиця 1905 року
Четвертого Універсалу провулок                                     	провулок Четвертого Універсалу
Героїв Майдану площа                                               	площа Героїв Майдану
Героїв Майдану провулок                                            	провулок Героїв Майдану
Героїв Майдану вулиця                                              	вулиця Героїв Майдану
Героїв Краснодону вулиця                                           	вулиця Героїв Краснодону
Комінтерну провулок                                                	провулок Комінтерну
Комінтерну  вулиця                                                 	вулиця Комінтерну
Комінтерну вулиця                                                  	вулиця Комінтерну
Профінтерну вулиця                                                 	вулиця Профінтерну
Миру площа                                                         	площа Миру
Миру провулок                                                      	провулок Миру
2-й Миру провулок                                                  	2-й провулок Миру
Миру проспект                                                      	проспект Миру
Миру вулиця                                                        	вулиця Миру
Гадяцького Договору вулиця                                         	вулиця Гадяцького Договору
Героїв ЗСУ вулиця                                                  	вулиця Героїв ЗСУ
Героїв Космосу вулиця                                              	вулиця Героїв Космосу
Степового Фронту вулиця                                            	вулиця Степового Фронту
Степового Фронту вулиця;Stepovoho Frontu Street                    	вулиця Степового Фронту
провулок Пам'яті Жертв Голокосту                                   	провулок Памʼяті Жертв Голокосту
Винахідників Бикових провулок                                      	провулок Винахідників Бикових
Чекалових вулиця                                                   	вулиця Чекалових
Ульянових вулиця                                                   	вулиця Ульянових
Братів Зерових провулок                                            	провулок Братів Зерових
Братів Зерових вулиця                                              	вулиця Братів Зерових
Родини Русових провулок                                            	провулок Родини Русових
Чижевських провулок                                                	провулок Чижевських
Чижевських вулиця                                                  	вулиця Чижевських
Токаревських вулиця                                                	вулиця Токаревських
Розумовських вулиця                                                	вулиця Розумовських
Генералів Сухинських провулок                                      	провулок Генералів Сухинських
Філянських вулиця                                                  	вулиця Філянських
Вишневецьких вулиця                                                	вулиця Вишневецьких
Нескорених вулиця                                                  	вулиця Нескорених
Героїв-пожежних вулиця                                             	вулиця Героїв-Пожежних
Великий Шлях вулиця                                                	вулиця Великий Шлях
Полтавський шлях вулиця                                            	вулиця Полтавський Шлях
Полтавський Шлях вулиця                                            	вулиця Полтавський Шлях
Диканський шлях вулиця                                             	вулиця Диканський Шлях
Занасипський Шлях вулиця                                           	вулиця Занасипський Шлях
Козацький шлях вулиця                                              	вулиця Козацький Шлях
Чумацький шлях вулиця                                              	вулиця Чумацький Шлях
Чумацький Шлях вулиця                                              	вулиця Чумацький Шлях
Шлях провулок                                                      	провулок Шлях
Шлях вулиця                                                        	вулиця Шлях
Єлизавети Милорадович вулиця                                       	вулиця Єлизавети Милорадович
Набережна Грунь вулиця                                             	Набережна вулиця річки Грунь
Коломієць провулок                                                 	провулок Коломієць
Бориса Гайдая вулиця                                               	вулиця Бориса Гайдая
Бородая вулиця                                                     	вулиця Бородая
Будая вулиця                                                       	вулиця Будая
Миклухо-Маклая провулок                                            	провулок Миклухо-Маклая
Шахрая вулиця                                                      	вулиця Шахрая
Давида Нечая провулок                                              	провулок Давида Нечая
Нечая провулок                                                     	провулок Нечая
Івана Рудя вулиця                                                  	вулиця Івана Рудя
отамана Павла Бея вулиця                                           	вулиця Отамана Павла Бея
Центральна алея вулиця                                             	вулиця Центральна Алея
Батарея вулиця                                                     	вулиця Батарея
Огія вулиця                                                        	вулиця Огія
Козаченка Сергія вулиця                                            	вулиця Сергія Козаченка
Петька Георгія проїзд                                              	проїзд Георгія Петька
Малія вулиця                                                       	вулиця Малія
2-га вулиця Лінія                                                  	вулиця 2-га Лінія
7-а Лінія вулиця                                                   	вулиця 7-ма Лінія
8-а Лінія вулиця                                                   	вулиця 8-ма Лінія
4-а Лінія вулиця                                                   	вулиця 4-та Лінія
5-а Лінія вулиця                                                   	вулиця 5-та Лінія
6-а Лінія вулиця                                                   	вулиця 6-та Лінія
9-а Лінія вулиця                                                   	вулиця 9-та Лінія
1-а Лінія вулиця                                                   	вулиця 1-ша Лінія
3-я Лінія вулиця                                                   	вулиця 3-тя Лінія
Ізюмова Андрія проїзд                                              	проїзд Андрія Ізюмова
Ізюмова Андрія провулок                                            	провулок Андрія Ізюмова
Дерія вулиця                                                       	вулиця Дерія
Майфета Григорія провулок                                          	провулок Майфета Григорія
Полоси Григорія вулиця                                             	вулиця Полоси Григорія
Лобача Юрія вулиця                                                 	вулиця Юрія Лобача
Сергія Аранчія вулиця                                              	вулиця Сергія Аранчія
Олексія Древаля вулиця                                             	вулиця Олексія Древаля
Коваля вулиця                                                      	вулиця Коваля
Коваля вулиця;Kovalia Street                                       	вулиця Коваля
Паскаля провулок                                                   	провулок Паскаля
Брикеля вулиця                                                     	вулиця Брикеля
Івана Шепеля вулиця                                                	вулиця Івана Шепеля
Пустеля вулиця?                                                    	вулиця Пустеля
1-й Героїв Чорнобиля провулок                                      	1-й провулок Героїв Чорнобиля
2-й Героїв Чорнобиля провулок                                      	2-й провулок Героїв Чорнобиля
Героїв Чорнобиля вулиця                                            	вулиця Героїв Чорнобиля
Захоролля вулиця                                                   	вулиця Захоролля
Соболя вулиця                                                      	вулиця Соболя
Миколи Гоголя вулиця                                               	вулиця Миколи Гоголя
Гоголя тупик                                                       	тупик Гоголя
Гоголя провулок                                                    	провулок Гоголя
1-й Гоголя провулок                                                	1-й провулок Гоголя
ІІ-й Гоголь провулок                                               	2-й провулок Гоголя
Гоголя вулиця                                                      	вулиця Гоголя
Героїв Маріуполя провулок                                          	провулок Героїв Маріуполя
Героїв Маріуполя вулиця                                            	вулиця Героїв Маріуполя
Цибаня провулок                                                    	провулок Цибаня
Цибаня вулиця                                                      	вулиця Цибаня
Антона Череваня провулок                                           	провулок Антона Череваня
1 Травня провулок                                                  	провулок 1 Травня
вулиця 1 травня;вулиця першого травня                              	вулиця 1 Травня
1 Травня вулиця                                                    	вулиця 1 Травня
1-го Травня вулиця                                                 	вулиця 1 Травня
Першого Травня вулиця                                              	вулиця 1 Травня
9 Травня вулиця                                                    	вулиця 9 Травня
9-го Травня вулиця                                                 	вулиця 9 Травня
8 Березня провулок                                                 	провулок 8 Березня
8-го Березня провулок                                              	провулок 8 Березня
улица 8-го Березня                                                 	вулиця 8 Березня
вулиця 8-го Березня                                                	вулиця 8 Березня
8 Березня вулиця                                                   	вулиця 8 Березня
8-го Березня вулиця                                                	вулиця 8 Березня
Єднання вулиця                                                     	вулиця Єднання
Українського Відродження бульвар                                   	бульвар Українського Відродження
Українського Відродження вулиця                                    	вулиця Українського Відродження
Відродження вулиця                                                 	вулиця Відродження
Визволення вулиця                                                  	вулиця Визволення
23 Серпня вулиця                                                   	вулиця 23 Серпня
21-го Вересня вулиця                                               	вулиця 21 Вересня
23 Вересня вулиця                                                  	вулиця 23 Вересня
23-го Вересня вулиця                                               	вулиця 23 Вересня
6-го Вересня вулиця                                                	вулиця 6 Вересня
18-го Вересня вулиця                                               	вулиця 18 Вересня
29 Вересня вулиця                                                  	вулиця 29 Вересня
29-го Вересня вулиця                                               	вулиця 29 Вересня
Перемоги 1-жовтня вулиця                                           	вулиця Перемоги 1 Жовтня
40 років Жовтня провулок                                           	провулок 40 років Жовтня
40 років Жовтня вулиця                                             	вулиця 40 років Жовтня
50 років Жовтня площа                                              	площа 50 років Жовтня
50 років Жовтня проспект                                           	проспект 50 років Жовтня
60 років Жовтня вулиця                                             	вулиця 60 років Жовтня
40-річчя Жовтня вулиця                                             	вулиця 40-річчя Жовтня
50-річчя Жовтня вулиця                                             	вулиця 50-річчя Жовтня
60-річчя Жовтня провулок                                           	провулок 60-річчя Жовтня
60-річчя Жовтня вулиця                                             	вулиця 60-річчя Жовтня
70-річчя Жовтня вулиця;70 років Жовтня вулиця                      	вулиця 70-річчя Жовтня
70-річчя Жовтня вулиця                                             	вулиця 70-річчя Жовтня
9 Січня вулиця;9 Sichnia Street                                    	вулиця 9 Січня
Губаря вулиця                                                      	вулиця Губаря
Кобзаря вулиця                                                     	вулиця Кобзаря
Мартина Пушкаря вулиця                                             	вулиця Мартина Пушкаря
Свинаря провулок                                                   	провулок Свинаря
Кучаря провулок                                                    	провулок Кучаря
Батиря вулиця                                                      	вулиця Батиря
