Юрія Тимошенка („Тарапуньки”) вулиця                               	вулиця Юрія Тимошенка «Тарапуньки»
Ломоносова провулок                                                	провулок Ломоносова
Ломоносова вулиця                                                  	вулиця Ломоносова
Олександра Матросова вулиця                                        	вулиця Олександра Матросова
матросова провулок                                                 	провулок Матросова
Матросова провулок                                                 	провулок Матросова
Матросова провулок;zaułek Matrosowa;Matrosova Lane                 	провулок Матросова
3-й Матросова провулок                                             	3-й провулок Матросова
Матросова вулиця                                                   	вулиця Матросова
Матросова вулиця;ulica Matrosowa                                   	вулиця Матросова
Матросова вулиця;Matrosova Street;ulica Matrosowa                  	вулиця Матросова
Утьосова вулиця                                                    	вулиця Утьосова
Капітана Трусова вулиця                                            	вулиця Капітана Трусова
Валерія Брюсова провулок                                           	провулок Валерія Брюсова
Філатова вулиця                                                    	вулиця Філатова
Муратова вулиця                                                    	вулиця Муратова
Курчатова вулиця                                                   	вулиця Курчатова
Академіка Олексія Бекетова площа                                   	площа Академіка Олексія Бекетова
Германа Титова тупик                                               	тупик Германа Титова
Тітова провулок                                                    	провулок Тітова
Тітова вулиця                                                      	вулиця Тітова
1-й Лермонтова тупик                                               	1-й тупик Лермонтова
2-й Лермонтова тупик                                               	2-й тупик Лермонтова
3-й Лермонтова тупик                                               	3-й тупик Лермонтова
4-й Лермонтова тупик                                               	4-й тупик Лермонтова
5-й Лермонтова тупик                                               	5-й тупик Лермонтова
Лермонтова провулок                                                	провулок Лермонтова
Ул. Лермонтова                                                     	вулиця Лермонтова
Лермонтова вулиця                                                  	вулиця Лермонтова
Лєрмонтова провулок                                                	провулок Лєрмонтова
Доброхотова вулиця                                                 	вулиця Доброхотова
Чехова провулок                                                    	провулок Чехова
3-й Чехова провулок                                                	3-й провулок Чехова
Чехова вулиця                                                      	вулиця Чехова
Карнаухова вулиця                                                  	вулиця Карнаухова
Генерала Духова вулиця;Henerala Dukhova Street                     	вулиця Генерала Духова
Ляхова вулиця;Liahova Street                                       	вулиця Ляхова
Генерала Рубцова вулиця                                            	вулиця Генерала Рубцова
Кузнєцова вулиця                                                   	вулиця Кузнєцова
Таранцова провулок                                                 	провулок Таранцова
Кольцова вулиця                                                    	вулиця Кольцова
Пугачова Вадима вулиця                                             	вулиця Вадима Пугачова
Пугачова проїзд                                                    	проїзд Пугачова
Пугачова провулок                                                  	провулок Пугачова
Пугачова вулиця                                                    	вулиця Пугачова
Лихачова вулиця                                                    	вулиця Лихачова
Ліхачова вулиця                                                    	вулиця Ліхачова
Єршова вулиця                                                      	вулиця Єршова
Ковальова провулок                                                 	провулок Ковальова
Андрія Ковальова провулок                                          	провулок Андрія Ковальова
Андрія Ковальова вулиця                                            	вулиця Андрія Ковальова
Володимира Кисельова вулиця                                        	вулиця Володимира Кисельова
Корольова вулиця                                                   	вулиця Корольова
1-й Кирила Бочкарьова тупик                                        	1-й тупик Кирила Бочкарьова
2-й Кирила Бочкарьова тупик                                        	2-й тупик Кирила Бочкарьова
3-й Кирила Бочкарьова тупик                                        	3-й тупик Кирила Бочкарьова
4-й Кирила Бочкарьова тупик                                        	4-й тупик Кирила Бочкарьова
5-й Кирила Бочкарьова тупик                                        	5-й тупик Кирила Бочкарьова
Кирила Бочкарьова вулиця                                           	вулиця Кирила Бочкарьова
Польва вулиця                                                      	вулиця Польва
Князя Олега провулок                                               	провулок Князя Олега
Героїв Сталінграда вулиця;Heroiv Stalinhrada Street                	вулиця Героїв Сталінграду
Моріса Тореза вулиця                                               	вулиця Моріса Тореза
Мотуза вулиця                                                      	вулиця Мотуза
Олега Бабака вулиця                                                	вулиця Олега Бабака
Бабака вулиця                                                      	вулиця Бабака
