
2-й Шевченка провулок	2-й провулок Шевченка
2-й Шишкіна провулок	2-й провулок Шишкіна
2-й Шолохова провулок	2-й провулок Шолохова
2-й Щорса провулок	2-й провулок Щорса
2-й Щорса тупик	2-й тупик Щорса
2-тий Сагайдачного провулок	2-й провулок Сагайдачного
200-річчя Шевченка вулиця	вулиця 200-річчя Шевченка
200-річчя Шевченка провулок	провулок 200-річчя Шевченка
3-ая Пирогова вулиця	3-тя вулиця Пирогова
3-й Амундсена провулок	3-й провулок Амундсена
3-й Бєлінського провулок	3-й провулок Бєлінського
3-й Блюхера провулок	3-й провулок Блюхера
3-й Боженка провулок	3-й провулок Боженка
3-й Бойка провулок	3-й провулок Бойка
3-й Вишневського провулок	3-й провулок Вишневського
3-й Ворошилова провулок	3-й провулок Ворошилова
3-й Гагаріна провулок	3-й провулок Гагаріна
3-й Глінки провулок	3-й провулок Глінки
3-й Гоголя провулок	3-й провулок Гоголя
3-й Горького провулок	3-й провулок Горького
3-й Грушевського провулок	3-й провулок Грушевського
3-й Дунаєвського провулок	3-й провулок Дунаєвського
3-й Дундича провулок	3-й провулок Дундича
3-й Енгельса провулок	3-й провулок Енгельса
3-й Задніпровського провулок	3-й провулок Задніпровського
3-й Калініна провулок	3-й провулок Калініна
3-й Карбишева провулок	3-й провулок Карбишева
3-й Карбишева проїзд	3-й проїзд Карбишева
3-й Комарова провулок	3-й провулок Комарова
3-й Короленка провулок	3-й провулок Короленка
3-й Кривоноса провулок	3-й провулок Кривоноса
3-й Крилова провулок	3-й провулок Крилова
3-й Купайла проїзд	3-й проїзд Купайла
3-й Лермонтова провулок	3-й провулок Лермонтова
3-й Лермонтова тупик	3-й тупик Лермонтова
3-й Ломоносова провулок	3-й провулок Ломоносова
3-й Максимовича проїзд	3-й проїзд Максимовича
3-й Мануїльського провулок	3-й провулок Мануїльського
3-й Матросова провулок	3-й провулок Матросова
3-й Мічуріна в’їзд	3-й вʼїзд Мічуріна
3-й Мічуріна тупик	3-й тупик Мічуріна
3-й Нахімова провулок	3-й провулок Нахімова
3-й Некрасова провулок	3-й провулок Некрасова
3-й Одоєвського тупик	3-й тупик Одоєвського
3-й Пестеля провулок	3-й провулок Пестеля
3-й Пирогова провулок	3-й провулок Пирогова
3-й Постишева провулок	3-й провулок Постишева
3-й Пушкіна провулок	3-й провулок Пушкіна
3-й Руданського провулок	3-й провулок Руданського
3-й Сагайдачного провулок	3-й провулок Сагайдачного
3-й Серафимовича провулок	3-й провулок Серафимовича
3-й Сковороди провулок	3-й провулок Сковороди
3-й Тимірязєва провулок	3-й провулок Тимірязєва
3-й Тухачевського провулок	3-й провулок Тухачевського
3-й Фурманова провулок	3-й провулок Фурманова
3-й Ціолковського провулок	3-й провулок Ціолковського
3-й Чапаєва провулок	3-й провулок Чапаєва
3-й Черняховського проїзд	3-й проїзд Черняховського
3-й Чехова провулок	3-й провулок Чехова
3-й Чехова проїзд	3-й проїзд Чехова
3-й Чкалова провулок	3-й провулок Чкалова
3-й Чкалова тупик	3-й тупик Чкалова
3-й Шевченка провулок	3-й провулок Шевченка
3-й Шишкіна провулок	3-й провулок Шишкіна
3-й Щорса провулок	3-й провулок Щорса
3-тий Сагайдачного провулок	3-й провулок Сагайдачного
4-ий Чкалова тупик	4-й тупик Чкалова
4-й Бєлінського провулок	4-й провулок Бєлінського
4-й Богуна провулок	4-й провулок Богуна
4-й Бойка провулок	4-й провулок Бойка
4-й Гагаріна провулок	4-й провулок Гагаріна
4-й Гоголя провулок	4-й провулок Гоголя
4-й Козака провулок	4-й провулок Козака
4-й Комарова провулок	4-й провулок Комарова
4-й Лермонтова тупик	4-й тупик Лермонтова
4-й Мануїльського провулок	4-й провулок Мануїльського
4-й Пушкіна провулок	4-й провулок Пушкіна
4-й Руданського провулок	4-й провулок Руданського
4-й Сковороди провулок	4-й провулок Сковороди
4-й Тимірязєва провулок	4-й провулок Тимірязєва
4-й Чапаєва провулок	4-й провулок Чапаєва
4-й Черняховського проїзд	4-й проїзд Черняховського
4-й Чкалова провулок	4-й провулок Чкалова
4-й Щорса провулок	4-й провулок Щорса
4-тий Сагайдачного провулок	4-й провулок Сагайдачного
5-й Богуна провулок	5-й провулок Богуна
5-й Гагаріна провулок	5-й провулок Гагаріна
5-й Гоголя провулок	5-й провулок Гоголя
5-й Довженка провулок	5-й провулок Довженка
5-й Комарова провулок	5-й провулок Комарова
5-й Лермонтова тупик	5-й тупик Лермонтова
5-й Тимірязєва провулок	5-й провулок Тимірязєва
5-й Черняховського проїзд	5-й проїзд Черняховського
5-й Щорса провулок	5-й провулок Щорса
6-й Богуна провулок	6-й провулок Богуна
6-й Гагаріна провулок	6-й провулок Гагаріна
6-й Довженка провулок	6-й провулок Довженка
6-й Черняховського проїзд	6-й проїзд Черняховського
6-й Щорса провулок	6-й провулок Щорса
7-й Козака провулок	7-й провулок Козака
