old_name	 new_name
Килинці	Килинці
киллометр	киллометр
КИМ вулиця	КИМ вулиця
Кима	Кима
Кимаковского	Кимаковского
Киммерийское шоссе	Киммерийское шоссе
Кимова провулок	Кимова провулок
Кимовский тупик	Кимовский тупик

Киндийское шоссе	Киндийское шоссе
Кипарисна вулиця	Кипарисна вулиця
Кипарисная	Кипарисная
Кипарисова вулиця	Кипарисова вулиця
Кипарисовая аллея	Кипарисовая аллея
Кипарисовий провулок	Кипарисовий провулок
Кипарисовый проезд	Кипарисовый проезд
Кипия-Йол	Кипия-Йол
Кипуча вулиця	Кипуча вулиця
Кипучий провулок	Кипучий провулок
Киргизова вулиця	Киргизова вулиця
Киргизька вулиця	Киргизька вулиця
Киргизький проїзд	Киргизький проїзд

Киреєва вулиця	Киреєва вулиця
Кирийчуків вулиця	Кирийчуків вулиця

Кирила Батюка вулиця	Кирила Батюка вулиця
Кирила Блонського вулиця	Кирила Блонського вулиця
Кирила Бочкарьова вулиця	Кирила Бочкарьова вулиця
Кирила Галаса вулиця	Кирила Галаса вулиця
Кирила Гвоздика провулок	Кирила Гвоздика провулок
Кирила і Мефодія вулиця	Кирила і Мефодія вулиця
Кирила і Мефодія площа	Кирила і Мефодія площа
Кирила Лукаріса вулиця	Кирила Лукаріса вулиця
Кирила Осьмака вулиця	Кирила Осьмака вулиця
Кирила Селецького вулиця	Кирила Селецького вулиця
Кирила Синельникова вулиця	Кирила Синельникова вулиця
Кирила Стеценка вулиця	Кирила Стеценка вулиця
Кирила Стеценка провулок	Кирила Стеценка провулок
Кирила Студинського вулиця	Кирила Студинського вулиця
Кирила Тарловського провулок	Кирила Тарловського провулок
Кирила Трильовського вулиця	Кирила Трильовського вулиця
Кириленка вулиця	Кириленка вулиця

Кирилкіна вулиця	Кирилкіна вулиця


Кирило-Мефодіївські сходи	Кирило-Мефодіївські сходи
Кирилова вулиця	Кирилова вулиця
Кирилюка вулиця	Кирилюка вулиця
Кириченка вулиця	Кириченка вулиця
Киричівка вулиця	Киричівка вулиця
Киричука вулиця	Киричука вулиця


Кирова	Кирова
Кирова Леаобережная	Кирова Леаобережная
Кирова проспект	Кирова проспект
Кировоградское Шоссе	Кировоградское Шоссе
Кирпична вулиця	Кирпична вулиця
Кирпичний провулок	Кирпичний провулок
Кирпичное шоссе	Кирпичное шоссе

Кирпичный	Кирпичный
Кирпичова вулиця	Кирпичова вулиця
Кирпоноса вулиця	Кирпоноса вулиця
Кирстівка вулиця	Кирстівка вулиця
Киртка вулиця	Киртка вулиця

Кисельова вулиця	Кисельова вулиця

Киселя в’їзд	Киселя вʼїзд
Кисєльова вулиця	Кисєльова вулиця

Кисилевської вулиця	Кисилевської вулиця

Кисільова вулиця	Кисільова вулиця
Кисіля вулиця	Кисіля вулиця
Кисленка вулиця	Кисленка вулиця


Кислородна вулиця	Кислородна вулиця
Кисляк вулиця	Кисляк вулиця


Киснева вулиця	Киснева вулиця
Кистяківських вулиця	Кистяківських вулиця
Кистяковського вулиця	Кистяковського вулиця
Китаєнка вулиця	Китаєнка вулиця





Китобійна вулиця	Китобійна вулиця
Китобоїв вулиця	Китобоїв вулиця
Китченка вулиця	Китченка вулиця
Кихна вулиця	Кихна вулиця


Кичерка вулиця	Кичерка вулиця
Кичі вулиця	Кичі вулиця




Кишова	Кишова

Кия провулок	Кия провулок



Кияшка вулиця	Кияшка вулиця
Кияшко вулиця	Кияшко вулиця
Кібальчича вулиця	Кібальчича вулиця
Кібельна вулиця	Кібельна вулиця
Кібенка вулиця	Кібенка вулиця
Кібенко вулиця	Кібенко вулиця
Кібернетична вулиця	Кібернетична вулиця
Кібернетичний провулок	Кібернетичний провулок
Кіблер вулиця	Кіблер вулиця
Кіборгів вулиця	Кіборгів вулиця
Кібрика вулиця	Кібрика вулиця


Ківшана вулиця	Ківшана вулиця
Кігіма вулиця	Кігіма вулиця



Кіквідзе вулиця	Кіквідзе вулиця
Кіквідзе провулок	Кіквідзе провулок
Кікень вулиця	Кікень вулиця
Кікоша вулиця	Кікоша вулиця



Кілініна вулиця	Кілініна вулиця
Кільовий провулок	Кільовий провулок
Кільце	Кільце
Кільце Аеропорту	Кільце Аеропорту
Кільцева	Кільцева
Кільцева вулиця	Кільцева вулиця
Кільцева дорога	Кільцева дорога
Кільцевий провулок	Кільцевий провулок
Кільцевий проїзд	Кільцевий проїзд
Кільцевий шлях	Кільцевий шлях
Кільцьова вулиця	Кільцьова вулиця

Кім вулиця	Кім вулиця
Кіма вулиця	Кіма вулиця
КІМа вулиця	КІМа вулиця
КІМа провулок	КІМа провулок


КІМу провулок	КІМу провулок

Кінга вулиця	Кінга вулиця

Кіндрата вулиця	Кіндрата вулиця
Кіндрата Рилєєва вулиця	Кіндрата Рилєєва вулиця
Кіндратенка вулиця	Кіндратенка вулиця
Кіндратенка провулок	Кіндратенка провулок
Кіндратьєва вулиця	Кіндратьєва вулиця
Кіндякова вулиця	Кіндякова вулиця
Кінець вулиця	Кінець вулиця
Кініжі вулиця	Кініжі вулиця
Кінлодь	Кінлодь
Кінна вулиця	Кінна вулиця
Кінний провулок	Кінний провулок


Кінноспортивна вулиця	Кінноспортивна вулиця

Кінцева вулиця	Кінцева вулиця
Кінцевий провулок	Кінцевий провулок
Кінчеш-Розівка автошлях	Кінчеш-Розівка автошлях
Кінчинна вулиця	Кінчинна вулиця
Кіорпе вулиця	Кіорпе вулиця
Кіото вулиця	Кіото вулиця
Кіпєнка вулиця	Кіпєнка вулиця

Кіпренського вулиця	Кіпренського вулиця
Кіпріанова Академіка вулиця	Кіпріанова Академіка вулиця
Кіпті вулиця	Кіпті вулиця
Кіраль вулиця	Кіраль вулиця

Кірєєва вулиця	Кірєєва вулиця
Кіріна провулок	Кіріна провулок

Кірічека вулиця	Кірічека вулиця

Кірова бульвар	Кірова бульвар
Кірова в’їзд	Кірова вʼїзд
Кірова вулиця	Кірова вулиця

Кірова площа	Кірова площа
Кірова провулок	Кірова провулок
Кірова проїзд	Кірова проїзд
Кірова проспект	Кірова проспект
Кірова тупик	Кірова тупик



Кіровоградське шосе	Кіровоградське шосе




Кірпічна вулиця	Кірпічна вулиця

Кірюхіна вулиця	Кірюхіна вулиця
Кісельова вулиця	Кісельова вулиця

Кісілівка	Кісілівка
Кісільова вулиця	Кісільова вулиця

Кіченка вулиця	Кіченка вулиця
Кіченко вулиця	Кіченко вулиця

Кіш вулиця	Кіш вулиця
Кіш Мункач вулиця	Кіш Мункач вулиця
Кішвашут вулиця	Кішвашут вулиця
Кішгедь вулиця	Кішгедь вулиця
Кішкез вулиця	Кішкез вулиця
Кіштемете вулиця	Кіштемете вулиця
Кішфолуді вулиця	Кішфолуді вулиця
Клавдієво - Буча	Клавдієво - Буча

Клавдії Назарової вулиця	Клавдії Назарової вулиця
Клавдії Шульженко вулиця	Клавдії Шульженко вулиця
Клавдії Шульженко провулок	Клавдії Шульженко провулок

Клавдіїї Бобикевич вулиця	Клавдіїї Бобикевич вулиця
Клави Байраченко вулиця	Клави Байраченко вулиця

кладка	кладка
Кладка	Кладка


Кладки	Кладки
Кладкова вулиця	Кладкова вулиця
Кладовище	Кладовище




Клапцова вулиця	Клапцова вулиця
Клара Цеткин	Клара Цеткин
Клари Балог вулиця	Клари Балог вулиця
Клари Цеткін вулиця	Клари Цеткін вулиця
Клари Цеткін провулок	Клари Цеткін провулок
Клари Цеткiн вулиця	Клари Цеткiн вулиця
Клары Цеткин	Клары Цеткин
Класична вулиця	Класична вулиця
Класичний провулок	Класичний провулок
Классона вулиця	Классона вулиця
Клебанщина вулиця	Клебанщина вулиця

Клеверний провулок	Клеверний провулок
Клевчука вулиця	Клевчука вулиця
Клеенова вулиця	Клеенова вулиця




Клеменова Дача вулиця	Клеменова Дача вулиця
Клеменова Дача провулок	Клеменова Дача провулок
Клемента Готвальда вулиця	Клемента Готвальда вулиця
Клемента Ґотвальда вулиця	Клемента Ґотвальда вулиця
Клементія Тімірязева вулиця	Клементія Тімірязева вулиця


Кленова алея	Кленова алея
Кленова балка	Кленова балка
Кленова вулиця	Кленова вулиця
Кленова Долина вулиця	Кленова Долина вулиця
Кленовий в’їзд	Кленовий вʼїзд
Кленовий провулок	Кленовий провулок
Кленовий проїзд	Кленовий проїзд
Кленовий Узвіз вулиця	Кленовий Узвіз вулиця


Клешканя вулиця	Клешканя вулиця

Клєвцова вулиця	Клєвцова вулиця
Клибанія вулиця	Клибанія вулиця
Кливака вулиця	Кливака вулиця
Клим-Чічки Андрієнка вулиця	Клим-Чічки Андрієнка вулиця

Клима Поліщука вулиця	Клима Поліщука вулиця
Клима Савура вулиця	Клима Савура вулиця

Клима Чурюмова вулиця	Клима Чурюмова вулиця
Климака вулиця	Климака вулиця
Климашкіна вулиця	Климашкіна вулиця
Клименка Віктора вулиця	Клименка Віктора вулиця
Клименка Віктора провулок	Клименка Віктора провулок
Клименка вулиця	Клименка вулиця

Клименко вулиця	Клименко вулиця
Климента Ворошилова вулиця	Климента Ворошилова вулиця

Климента Тимірязєва вулиця	Климента Тимірязєва вулиця
Климента Тімірязєва вулиця	Климента Тімірязєва вулиця
Климента Тімірязєва провулок	Климента Тімірязєва провулок
Климентія Домінчена вулиця	Климентія Домінчена вулиця
Климентія Смолятича провулок	Климентія Смолятича провулок
Климентія Шептицького вулиця	Климентія Шептицького вулиця

Климова вулиця	Климова вулиця
Климовича вулиця	Климовича вулиця
Климовское шоссе	Климовское шоссе
Климовського провулок	Климовського провулок
Климпуші вулиця	Климпуші вулиця
Климчука вулиця	Климчука вулиця
Клинець вулиця	Клинець вулиця
Клинівка вулиця	Клинівка вулиця

Клинківського вулиця	Клинківського вулиця
Клинова вулиця	Клинова вулиця


Клинчева	Клинчева
Клисів провулок	Клисів провулок
Кличальний провулок	Кличальний провулок

Кліматична вулиця	Кліматична вулиця
Клімовцова вулиця	Клімовцова вулиця
Клінічна вулиця	Клінічна вулиця
Клінкерна вулиця	Клінкерна вулиця
Кллубна вулиця	Кллубна вулиця


Клокова вулиця	Клокова вулиця


Клочка вулиця	Клочка вулиця



Клочко вулиця	Клочко вулиця
Клочкова вулиця	Клочкова вулиця
Клочковская	Клочковская

Клубна вулиця	Клубна вулиця
Клубная	Клубная
Клубний в’їзд	Клубний вʼїзд
Клубний провулок	Клубний провулок
Клубний узвіз	Клубний узвіз
Клубнична вулиця	Клубнична вулиця
Клубничная	Клубничная
Клубнічна вулиця	Клубнічна вулиця

Клушина вулиця	Клушина вулиця



Клюткавиця вулиця	Клюткавиця вулиця
Клюхька вулиця	Клюхька вулиця


Ключева вулиця	Ключева вулиця
Ключинських вулиця	Ключинських вулиця

Ключний провулок	Ключний провулок
Ключова вулиця	Ключова вулиця
Ключовий в’їзд	Ключовий вʼїзд
Ключовий провулок	Ключовий провулок
Клюшника	Клюшника
Клюшнікова вулиця	Клюшнікова вулиця

Клячковського бічна вулиця	Клячковського бічна вулиця
Кмитів Яр вулиця	Кмитів Яр вулиця

Кмітя вулиця	Кмітя вулиця
Книжкова вулиця	Книжкова вулиця
Книжковий провулок	Книжковий провулок
Книжна вулиця	Книжна вулиця
Книжний провулок	Книжний провулок
Книшівка вулиця	Книшівка вулиця

Кновальця вулиця	Кновальця вулиця
Княгинин вулиця	Княгинин вулиця

Княгиницького вулиця	Княгиницького вулиця

Княгині Констанції вулиця	Княгині Констанції вулиця
Княгині Ольги	Княгині Ольги
Княгині Ольги бульвар	Княгині Ольги бульвар

Княгині Ольги провулок	Княгині Ольги провулок
Княгині Щербатової вулиця	Княгині Щербатової вулиця

Княжа вулиця	Княжа вулиця
Княжа площа	Княжа площа

Княжий Брід вулиця	Княжий Брід вулиця
Княжий затон	Княжий затон
Княжий Затон вулиця	Княжий Затон вулиця
Княжий міст	Княжий міст
Княжий провулок	Княжий провулок
Княжина вулиця	Княжина вулиця
Княжицька вулиця	Княжицька вулиця
Княжна вулиця	Княжна вулиця

Княза Романа вулиця	Княза Романа вулиця
Княза Святослава площа	Княза Святослава площа
Князева вулиця	Князева вулиця
Князєва вулиця	Князєва вулиця
Князів Ґедиміновичів вулиця	Князів Ґедиміновичів вулиця
Князів Коріатовичів вулиця	Князів Коріатовичів вулиця
Князів Коріатовичів провулок	Князів Коріатовичів провулок
Князів Коріатовичів узвіз	Князів Коріатовичів узвіз
Князів острозьких вулиця	Князів острозьких вулиця
Князів Острозьких вулиця	Князів Острозьких вулиця
Князів Острозьких провулок	Князів Острозьких провулок
Князів Ружинських вулиця	Князів Ружинських вулиця
Князів Сангушків вулиця	Князів Сангушків вулиця
Князів Сангушків провулок	Князів Сангушків провулок
Князів Сангушко вулиця	Князів Сангушко вулиця
Князів Сангушко провулок	Князів Сангушко провулок



Князька вулиця	Князька вулиця
Князькіна вулиця	Князькіна вулиця
Князькова вулиця	Князькова вулиця
Князя Бориса вулиця	Князя Бориса вулиця
Князя Василька вулиця	Князя Василька вулиця
Князя Василька провулок	Князя Василька провулок
Князя Вітовта вулиця	Князя Вітовта вулиця
Князя Володимира Великого вулиця	Князя Володимира Великого вулиця
Князя Володимира вулиця	Князя Володимира вулиця
Князя Володимира Мономаха вулиця	Князя Володимира Мономаха вулиця
Князя Володимира Ольґердовича провулок	Князя Володимира Ольґердовича провулок
Князя Володимира провулок	Князя Володимира провулок
Князя Володимира проспект	Князя Володимира проспект
Князя Всеволода вулиця	Князя Всеволода вулиця
Князя Всеволода Ярославича вулиця	Князя Всеволода Ярославича вулиця
Князя Гліба Дубровицького вулиця	Князя Гліба Дубровицького вулиця
князя Дмитра Вишневського вулиця	князя Дмитра Вишневського вулиця
Князя Ігоря вулиця	Князя Ігоря вулиця
Князя Ігоря провулок	Князя Ігоря провулок
Князя Ігоря Святославовича вулиця	Князя Ігоря Святославовича вулиця
Князя Костянтина Острозького вулиця	Князя Костянтина Острозького вулиця
Князя Лаборця вулиця	Князя Лаборця вулиця
Князя Лаборця площа	Князя Лаборця площа
Князя Ламперта вулиця	Князя Ламперта вулиця
Князя Лева вулиця	Князя Лева вулиця
Князя Льва Даниловича вулиця	Князя Льва Даниловича вулиця
Князя Любарта вулиця	Князя Любарта вулиця
Князя Любаша вулиця	Князя Любаша вулиця
Князя Мала вулиця	Князя Мала вулиця
Князя Мстислава вулиця	Князя Мстислава вулиця
Князя Мстислава Удатного вулиця	Князя Мстислава Удатного вулиця
Князя Олега вулиця	Князя Олега вулиця
Князя Олега провулок	Князя Олега провулок
Князя Олександра Вишневецького вулиця	Князя Олександра Вишневецького вулиця
Князя Острозького вулиця	Князя Острозького вулиця
Князя Осьмомисла вулиця	Князя Осьмомисла вулиця
князя Потемкина Таврического	князя Потемкина Таврического
Князя Романа Великого вулиця	Князя Романа Великого вулиця
Князя Романа вулиця	Князя Романа вулиця
Князя Романа Мстиславича вулиця	Князя Романа Мстиславича вулиця
Князя Рюрика вулиця	Князя Рюрика вулиця
Князя Святослава вулиця	Князя Святослава вулиця
Князя Святослава площа	Князя Святослава площа
Князя Святослава провулок	Князя Святослава провулок
Князя Чорного вулиця	Князя Чорного вулиця
Князя Ярополка Святославича провулок	Князя Ярополка Святославича провулок
Князя Ярослава Мудрого вулиця	Князя Ярослава Мудрого вулиця
Князя Ярослава Осмомисла площа	Князя Ярослава Осмомисла площа
Ко	Ко

Кобеєва вулиця	Кобеєва вулиця
Кобеляцька вулиця	Кобеляцька вулиця
Кобеляцький Правий провулок	Кобеляцький Правий провулок
Кобеляцький провулок	Кобеляцький провулок
Кобера вулиця	Кобера вулиця
Кобера провулок	Кобера провулок
Коберідзе вулиця	Коберідзе вулиця
Кобзарева вулиця	Кобзарева вулиця
Кобзаревий провулок	Кобзаревий провулок
Кобзарів вулиця	Кобзарів вулиця
Кобзарівка вулиця	Кобзарівка вулиця
Кобзарівка провулок	Кобзарівка провулок



Кобзаря бульвар	Кобзаря бульвар
Кобзаря в’їзд	Кобзаря вʼїзд
Кобзаря вулиця	Кобзаря вулиця
Кобзаря майдан	Кобзаря майдан
Кобзаря площа	Кобзаря площа
Кобзаря провулок	Кобзаря провулок
Кобзаря проспект	Кобзаря проспект
Кобзона вулиця	Кобзона вулиця
Кобижча вулиця	Кобижча вулиця
Кобизька вулиця	Кобизька вулиця
Кобизький Шлях вулиця	Кобизький Шлях вулиця
Кобилецького вулиця	Кобилецького вулиця
Кобилиці вулиця	Кобилиці вулиця
Кобиляка вулиця	Кобиляка вулиця

Кобилянського вулиця	Кобилянського вулиця
Кобилянської вулиця	Кобилянської вулиця


Кобилянської провулок	Кобилянської провулок
Кобища вулиця	Кобища вулиця

Кобозєва вулиця	Кобозєва вулиця


Кобринських вулиця	Кобринських вулиця
Кобринського вулиця	Кобринського вулиця
Кобринської вулиця	Кобринської вулиця
Кобринської Наталії провулок	Кобринської Наталії провулок
Кобринця вулиця	Кобринця вулиця
Кобринюка вулиця	Кобринюка вулиця
Кобриш вулиця	Кобриш вулиця
Кобця провулок	Кобця провулок
Ков'язька вулиця	Ковʼязька вулиця
Ков’язька вулиця	Ковʼязька вулиця
Ков’язький в’їзд	Ков’язький вʼїзд
Ковалева вулиця	Ковалева вулиця
Ковалевича вулиця	Ковалевича вулиця
Ковалевича провулок	Ковалевича провулок

Ковалевського вулиця	Ковалевського вулиця
Ковалевського провулок	Ковалевського провулок
Ковалевського узвіз	Ковалевського узвіз
Ковалевської вулиця	Ковалевської вулиця
Коваленка  вулиця	Коваленка  вулиця
Коваленка вулиця	Коваленка вулиця
Коваленка провулок	Коваленка провулок
Коваленків вулиця	Коваленків вулиця

Ковалі вулиця	Ковалі вулиця
Ковалів вулиця	Ковалів вулиця
Коваліва	Коваліва
Ковалівка вулиця	Ковалівка вулиця



Ковалівської провулок	Ковалівської провулок
Ковалька вулиця	Ковалька вулиця
Ковальова вулиця	Ковальова вулиця
Ковальова провулок	Ковальова провулок
Ковальский провулок	Ковальский провулок
Ковальского вулиця	Ковальского вулиця



Ковальського вулиця	Ковальського вулиця
Ковальчука вулиця	Ковальчука вулиця
Ковальчука провулок	Ковальчука провулок
Ковальчуків вулиця	Ковальчуків вулиця
Ковалюка вулиця	Ковалюка вулиця
Коваля вулиця	Коваля вулиця


Ковача вулиця	Ковача вулиця
Ковача провулок	Ковача провулок
Ковбуза вулиця	Ковбуза вулиця
Ковганова провулок	Ковганова провулок
Ковельмана вулиця	Ковельмана вулиця
Ковельска	Ковельска


Ковешнікова вулиця	Ковешнікова вулиця
Ковжуна вулиця	Ковжуна вулиця
Ковиловий провулок	Ковиловий провулок
Ковильна вулиця	Ковильна вулиця
Ковната вулиця	Ковната вулиця
Ковніра вулиця	Ковніра вулиця
Коворот вулиця	Коворот вулиця
Ковпака в’їзд	Ковпака вʼїзд
Ковпака вулиця	Ковпака вулиця
Ковпака провулок	Ковпака провулок
Ковпака проспект	Ковпака проспект

Коврова вулиця	Коврова вулиця

Ковського вулиця	Ковського вулиця
Ковтуна вулиця	Ковтуна вулиця

Ковтюха вулиця	Ковтюха вулиця
Ковшевацького вулиця	Ковшевацького вулиця
Ковшевича вулиця	Ковшевича вулиця
Ковыльная	Ковыльная
Кодакова вулиця	Кодакова вулиця
Кодацька вулиця	Кодацька вулиця
Кодацький узвіз	Кодацький узвіз
Кодацького вулиця	Кодацького вулиця



Кодриш вулиця	Кодриш вулиця
Кожанське шосе	Кожанське шосе
Кожанське шосе вулиця	Кожанське шосе вулиця

Кожарова вулиця	Кожарова вулиця
Кожбук вулиця	Кожбук вулиця
Кожевна вулиця	Кожевна вулиця
Кожевний провулок	Кожевний провулок
Кожедуба вулиця	Кожедуба вулиця
Кожедуба провулок	Кожедуба провулок

Кожем’яки провулок	Кожемʼяки провулок
Кожем’яків вулиця	Кожемʼяків вулиця
Кожем’якіна вулиця	Кожемʼякіна вулиця

Кожемякіна провулок	Кожемякіна провулок
Кожна вулиця	Кожна вулиця
Кожум’яцька вулиця	Кожумʼяцька вулиця
Кожухаря вулиця	Кожухаря вулиця
Кожушко вулиця	Кожушко вулиця
Кожущенко провулок	Кожущенко провулок
Козазька вулиця	Козазька вулиця

Козака Володимира  вулиця	Козака Володимира  вулиця
Козака Володимира вулиця	Козака Володимира вулиця
Козака вулиця	Козака вулиця


Козака Климовського вулиця	Козака Климовського вулиця
Козака Мамая вулиця	Козака Мамая вулиця
Козака Мамая провулок	Козака Мамая провулок
Козака провулок	Козака провулок

Козакевича вулиця	Козакевича вулиця
Козаків-Богданівців вулиця	Козаків-Богданівців вулиця
Козаківка вулиця	Козаківка вулиця
Козакова вулиця	Козакова вулиця

Козаровицький провулок	Козаровицький провулок

Козацкач	Козацкач
Козацька вулиця	Козацька вулиця
Козацька садиба	Козацька садиба

Козацький в’їзд	Козацький вʼїзд
Козацький Вал вулиця	Козацький Вал вулиця
Козацький провулок	Козацький провулок
Козацький проїзд	Козацький проїзд
Козацький проспект	Козацький проспект
Козацький тупик	Козацький тупик
Козацький шлях	Козацький шлях
Козацький шлях вулиця	Козацький шлях вулиця
Козацький Шлях вулиця	Козацький Шлях вулиця
Козацьких Гетьманів вулиця	Козацьких Гетьманів вулиця


Козацької Слави площа	Козацької Слави площа
Козацької Слави провулок	Козацької Слави провулок

Козача вулиця	Козача вулиця

Козаченка вулиця	Козаченка вулиця
Козаченка Сергія вулиця	Козаченка Сергія вулиця
Козаченко вулиця	Козаченко вулиця
Козачий вулиця	Козачий вулиця
Козачий провулок	Козачий провулок
Козачий тупик	Козачий тупик
Козачий Шлях вулиця	Козачий Шлях вулиця
Козачкова вулиця	Козачкова вулиця

Козачої Ради провулок	Козачої Ради провулок
Козелець	Козелець

Козелецька вулиця	Козелецька вулиця
Козельницька вулиця	Козельницька вулиця
Козельського вулиця	Козельського вулиця
Козельщина – Новий Тагамлик – Селещина	Козельщина – Новий Тагамлик – Селещина
Козенка вулиця	Козенка вулиця
Козина	Козина
Козинець вулиця	Козинець вулиця
Козинецька вулиця	Козинецька вулиця
Козинівка вулиця	Козинівка вулиця
Козинна тропа	Козинна тропа



Козинці вулиця	Козинці вулиця
Козинця вулиця	Козинця вулиця
Козирева вулиця	Козирева вулиця
Козирєва вулиця	Козирєва вулиця

Козирьова вулиця	Козирьова вулиця
Козиря вулиця	Козиря вулиця
Козицького вулиця	Козицького вулиця
Козіївка вулиця	Козіївка вулиця
Козіно вулиця	Козіно вулиця
Козланюка вулиця	Козланюка вулиця
Козлова	Козлова

Козлова вулиця	Козлова вулиця
Козловського вулиця	Козловського вулиця
Козловського провулок	Козловського провулок
Козові вулиця	Козові вулиця
Козоріза вулиця	Козоріза вулиця
Козоріса вулиця	Козоріса вулиця
Козубського провулок	Козубського провулок
Козьменка вулиця	Козьменка вулиця


Козюменського вулиця	Козюменського вулиця


Козяцька вулиця	Козяцька вулиця
Койнаша вулиця	Койнаша вулиця


Коки провулок	Коки провулок
Кокирлату вулиця	Кокирлату вулиця
Кокінакі вулиця	Кокінакі вулиця
Коккінакі вулиця	Коккінакі вулиця
Коккінакі провулок	Коккінакі провулок
Коккоз	Коккоз
Коковського вулиця	Коковського вулиця
Кокоєва вулиця	Кокоєва вулиця
Кокоріна вулиця	Кокоріна вулиця
Кокорна вулиця	Кокорна вулиця
Кокотіна вулиця	Кокотіна вулиця
Коксобудівельна вулиця	Коксобудівельна вулиця
Коксова вулиця	Коксова вулиця
Коксовий масив	Коксовий масив
Коксовий провулок	Коксовий провулок

Коксохіміків вулиця	Коксохіміків вулиця
Коксохімічна вулиця	Коксохімічна вулиця
Кокушкіна вулиця	Кокушкіна вулиця

Кокшарова вулиця	Кокшарова вулиця
Коларова вулиця	Коларова вулиця
Колачевського вулиця	Колачевського вулиця
Колачевського провулок	Колачевського провулок

Колгоспна	Колгоспна
Колгоспна вулиця	Колгоспна вулиця
Колгоспна Стара вулиця	Колгоспна Стара вулиця
Колгоспна dekbwz	Колгоспна dekbwz
Колгоспний в’їзд	Колгоспний вʼїзд
Колгоспний провулок	Колгоспний провулок
Колгоспний проспект	Колгоспний проспект
Колективізації вулиця	Колективізації вулиця
Колективістів вулиця	Колективістів вулиця
Колективістів провулок	Колективістів провулок
Колективна вулиця	Колективна вулиця
Колективний провулок	Колективний провулок
Колекторна вулиця	Колекторна вулиця
Колекторний провулок	Колекторний провулок

Колерова вулиця	Колерова вулиця
Колесника вулиця	Колесника вулиця

Колесникова вулиця	Колесникова вулиця
Колесникової вулиця	Колесникової вулиця
Колесніка вулиця	Колесніка вулиця
Колесня вулиця	Колесня вулиця
Колесова вулиця	Колесова вулиця


Количева вулиця	Количева вулиця

колишня залізниця	колишня залізниця
Колізей	Колізей
Коліївщини площа	Коліївщини площа
Колійна вулиця	Колійна вулиця
Колійний провулок	Колійний провулок
Колійова вулиця	Колійова вулиця
Колійовий проїзд	Колійовий проїзд
Колінченка провулок	Колінченка провулок
Колісна вулиця	Колісна вулиця
Колісника вулиця	Колісника вулиця
Колісники Бічна вулиця	Колісники Бічна вулиця

Колісницька вулиця	Колісницька вулиця
Колісницький провулок	Колісницький провулок
Колісниченка вулиця	Колісниченка вулиця

Коллонтай вулиця	Коллонтай вулиця
Коллонтай провулок	Коллонтай провулок
Коллонтая вулиця	Коллонтая вулиця
Коло Моста вулиця	Коло Моста вулиця

Колодезна вулиця	Колодезна вулиця
Колодзінського вулиця	Колодзінського вулиця

Колодіна вулиця	Колодіна вулиця
Колодія вулиця	Колодія вулиця


Колодрібка	Колодрібка
Колодяжна вулиця	Колодяжна вулиця
Колодяжний провулок	Колодяжний провулок
Колодязна вулиця	Колодязна вулиця
Колодязний в’їзд	Колодязний вʼїзд
Колодязний провулок	Колодязний провулок
Колодязьна вулиця	Колодязьна вулиця
Колодязьний провулок	Колодязьний провулок
Колокольцева вулиця	Колокольцева вулиця
Колокольцова вулиця	Колокольцова вулиця
Коломацька вулиця	Коломацька вулиця
Коломацький провулок	Коломацький провулок





Коломийця Авеніра вулиця	Коломийця Авеніра вулиця
Коломийчука вулиця	Коломийчука вулиця

Коломієць провулок	Коломієць провулок
Коломійця вулиця	Коломійця вулиця
Коломійченка вулиця	Коломійченка вулиця


Колонічна вулиця	Колонічна вулиця
Колонія вулиця	Колонія вулиця

Колонна вулиця	Колонна вулиця
Колонова вулиця	Колонова вулиця




Колонтай вул.	Колонтай вул.
Колонтай провулок	Колонтай провулок
Колоритна вулиця	Колоритна вулиця
Колоса вулиця	Колоса вулиця
Колосиста вулиця	Колосиста вулиця
Колосистий в'їзд	Колосистий вʼїзд
Колосистий провулок	Колосистий провулок

Колоска вулиця	Колоска вулиця
Колоскова вулиця	Колоскова вулиця
Колосковий провулок	Колосковий провулок
Колоскових вулиця	Колоскових вулиця
Колосніковская вулиця	Колосніковская вулиця
Колосова вулиця	Колосова вулиця

Колосовського вулиця	Колосовського вулиця
Колота вулиця	Колота вулиця
Колпакової вулиця	Колпакової вулиця
Колпаковой вулиця	Колпаковой вулиця
колпгосна	колпгосна


Колуково вулиця	Колуково вулиця

Колхозна вулиця	Колхозна вулиця
колхозная	колхозная
Колхозная	Колхозная
Колхозный проезд	Колхозный проезд
Колхозный проспект	Колхозный проспект


Кольорова вулиця	Кольорова вулиця
Кольоровий провулок	Кольоровий провулок

Кольцева вулиця	Кольцева вулиця
Кольцевой	Кольцевой
Кольцевой мототрек	Кольцевой мототрек
кольцо	кольцо
Кольцова бульвар	Кольцова бульвар
Кольцова в’їзд	Кольцова вʼїзд
Кольцова вулиця	Кольцова вулиця
